[Tue May 26 22:59:00 2026] 
=======================================================
[Tue May 26 22:59:00 2026] --- ΒΑΣΙΚΕΣ ΡΥΘΜΙΣΕΙΣ ΠΕΙΡΑΜΑΤΟΣ ---
[Tue May 26 22:59:00 2026] Μοντέλο    : former_dfer
[Tue May 26 22:59:00 2026] Optimizer  : SGD (LR: 0.001)
[Tue May 26 22:59:00 2026] Scheduler  : StepLR
[Tue May 26 22:59:00 2026] Αξιολόγηση : TEN-CROP (10 Crops)
[Tue May 26 22:59:00 2026] =======================================================

[Wed May 27 00:00:21 2026] [Train] epo:24/30, batch_idx_tr:293/293, running_loss_tr:0.92, train acc:63.75%
[Wed May 27 00:01:38 2026] [Test] epo:24/30, batch_idx_tr:293/293, WAR_te:60.27%, UAR_te:52.49%
[Wed May 27 00:02:55 2026] [Train] epo:25/30, batch_idx_tr:293/293, running_loss_tr:0.93, train acc:63.92%
[Wed May 27 00:04:12 2026] [Test] epo:25/30, batch_idx_tr:293/293, WAR_te:53.78%, UAR_te:53.64%
[Wed May 27 00:05:27 2026] [Train] epo:26/30, batch_idx_tr:293/293, running_loss_tr:0.90, train acc:64.53%
[Wed May 27 00:06:39 2026] [Test] epo:26/30, batch_idx_tr:293/293, WAR_te:59.72%, UAR_te:55.62%
[Wed May 27 00:07:55 2026] [Train] epo:27/30, batch_idx_tr:293/293, running_loss_tr:0.88, train acc:65.67%
[Wed May 27 00:09:07 2026] [Test] epo:27/30, batch_idx_tr:293/293, WAR_te:54.81%, UAR_te:53.58%
[Wed May 27 00:10:29 2026] [Train] epo:28/30, batch_idx_tr:293/293, running_loss_tr:0.88, train acc:65.44%
[Wed May 27 00:11:45 2026] [Test] epo:28/30, batch_idx_tr:293/293, WAR_te:59.21%, UAR_te:53.74%
[Wed May 27 00:13:00 2026] [Train] epo:29/30, batch_idx_tr:293/293, running_loss_tr:0.83, train acc:67.11%
[Wed May 27 00:14:16 2026] [Test] epo:29/30, batch_idx_tr:293/293, WAR_te:54.21%, UAR_te:52.51%
[Wed May 27 00:15:33 2026] [Train] epo:30/30, batch_idx_tr:293/293, running_loss_tr:0.85, train acc:66.93%
[Wed May 27 00:16:51 2026] [Test] epo:30/30, batch_idx_tr:293/293, WAR_te:58.56%, UAR_te:50.07%
