[Tue Jun  2 17:05:48 2026] >>> [INFO] Χρήση Weighted CEL (WCEL) - Δυναμικά Βάρη Fold 4: [ 0.683  0.882  0.626  0.769  1.138 11.525  1.852]
[Tue Jun  2 17:05:48 2026] 
=======================================================
[Tue Jun  2 17:05:48 2026] --- ΒΑΣΙΚΕΣ ΡΥΘΜΙΣΕΙΣ ΠΕΙΡΑΜΑΤΟΣ ---
[Tue Jun  2 17:05:48 2026] Μοντέλο    : former_dfer
[Tue Jun  2 17:05:48 2026] Optimizer  : SGD (LR: 0.001)
[Tue Jun  2 17:05:48 2026] Scheduler  : StepLR
[Tue Jun  2 17:05:48 2026] Αξιολόγηση : TEN-CROP (10 Crops)
[Tue Jun  2 17:05:48 2026] =======================================================

[Tue Jun  2 17:07:20 2026] [Train] epo:1/30, batch_idx_tr:293/293, running_loss_tr:1.95, train acc:24.44%
[Tue Jun  2 17:08:42 2026] [Test] epo:1/30, batch_idx_tr:293/293, WAR_te:22.62%, UAR_te:23.83%
[Tue Jun  2 17:10:05 2026] [Train] epo:2/30, batch_idx_tr:293/293, running_loss_tr:1.66, train acc:37.11%
[Tue Jun  2 17:11:23 2026] [Test] epo:2/30, batch_idx_tr:293/293, WAR_te:30.53%, UAR_te:29.59%
[Tue Jun  2 17:12:44 2026] [Train] epo:3/30, batch_idx_tr:293/293, running_loss_tr:1.56, train acc:41.40%
[Tue Jun  2 17:13:58 2026] [Test] epo:3/30, batch_idx_tr:293/293, WAR_te:34.84%, UAR_te:36.49%
[Tue Jun  2 17:15:22 2026] [Train] epo:4/30, batch_idx_tr:293/293, running_loss_tr:1.48, train acc:44.32%
[Tue Jun  2 17:16:36 2026] [Test] epo:4/30, batch_idx_tr:293/293, WAR_te:41.09%, UAR_te:44.10%
[Tue Jun  2 17:17:58 2026] [Train] epo:5/30, batch_idx_tr:293/293, running_loss_tr:1.42, train acc:46.90%
[Tue Jun  2 17:19:12 2026] [Test] epo:5/30, batch_idx_tr:293/293, WAR_te:40.70%, UAR_te:39.15%
[Tue Jun  2 17:20:38 2026] [Train] epo:6/30, batch_idx_tr:293/293, running_loss_tr:1.38, train acc:48.43%
[Tue Jun  2 17:22:07 2026] [Test] epo:6/30, batch_idx_tr:293/293, WAR_te:40.83%, UAR_te:46.15%
[Tue Jun  2 17:23:40 2026] [Train] epo:7/30, batch_idx_tr:293/293, running_loss_tr:1.34, train acc:50.34%
[Tue Jun  2 17:24:59 2026] [Test] epo:7/30, batch_idx_tr:293/293, WAR_te:37.24%, UAR_te:41.81%
[Tue Jun  2 17:26:28 2026] [Train] epo:8/30, batch_idx_tr:293/293, running_loss_tr:1.32, train acc:50.29%
[Tue Jun  2 17:27:50 2026] [Test] epo:8/30, batch_idx_tr:293/293, WAR_te:47.50%, UAR_te:45.18%
[Tue Jun  2 17:29:16 2026] [Train] epo:9/30, batch_idx_tr:293/293, running_loss_tr:1.27, train acc:53.09%
[Tue Jun  2 17:30:39 2026] [Test] epo:9/30, batch_idx_tr:293/293, WAR_te:36.98%, UAR_te:43.45%
[Tue Jun  2 17:32:02 2026] [Train] epo:10/30, batch_idx_tr:293/293, running_loss_tr:1.23, train acc:53.20%
[Tue Jun  2 17:33:24 2026] [Test] epo:10/30, batch_idx_tr:293/293, WAR_te:46.86%, UAR_te:43.25%
[Tue Jun  2 17:34:49 2026] [Train] epo:11/30, batch_idx_tr:293/293, running_loss_tr:1.20, train acc:54.15%
