[Tue Jun  9 11:28:15 2026] >>> [INFO] Χρήση Weighted CEL (WCEL) - Δυναμικά Βάρη Fold 5: [ 0.684  0.882  0.626  0.769  1.137 11.528  1.852]
[Tue Jun  9 11:28:15 2026] 
=======================================================
[Tue Jun  9 11:28:15 2026] --- ΒΑΣΙΚΕΣ ΡΥΘΜΙΣΕΙΣ ΠΕΙΡΑΜΑΤΟΣ ---
[Tue Jun  9 11:28:15 2026] Μοντέλο    : my_hybrid
[Tue Jun  9 11:28:15 2026] Optimizer  : SGD (LR: 0.001)
[Tue Jun  9 11:28:15 2026] Scheduler  : StepLR
[Tue Jun  9 11:28:15 2026] Αξιολόγηση : TEN-CROP (10 Crops)
[Tue Jun  9 11:28:15 2026] =======================================================

[Tue Jun  9 16:13:35 2026] [Train] epo:22/30, batch_idx_tr:1171/1171, running_loss_tr:0.42, train acc:83.94%
[Tue Jun  9 16:19:10 2026] [Test] epo:22/30, batch_idx_tr:1171/1171, WAR_te:62.97%, UAR_te:55.02%
[Tue Jun  9 16:26:46 2026] [Train] epo:23/30, batch_idx_tr:1171/1171, running_loss_tr:0.39, train acc:85.85%
[Tue Jun  9 16:32:20 2026] [Test] epo:23/30, batch_idx_tr:1171/1171, WAR_te:59.80%, UAR_te:52.89%
[Tue Jun  9 16:39:56 2026] [Train] epo:24/30, batch_idx_tr:1171/1171, running_loss_tr:0.34, train acc:86.49%
[Tue Jun  9 16:45:33 2026] [Test] epo:24/30, batch_idx_tr:1171/1171, WAR_te:60.79%, UAR_te:54.67%
[Tue Jun  9 16:53:08 2026] [Train] epo:25/30, batch_idx_tr:1171/1171, running_loss_tr:0.37, train acc:86.06%
[Tue Jun  9 16:58:44 2026] [Test] epo:25/30, batch_idx_tr:1171/1171, WAR_te:61.34%, UAR_te:55.47%
[Tue Jun  9 17:06:19 2026] [Train] epo:26/30, batch_idx_tr:1171/1171, running_loss_tr:0.36, train acc:86.72%
[Tue Jun  9 17:11:54 2026] [Test] epo:26/30, batch_idx_tr:1171/1171, WAR_te:61.39%, UAR_te:54.28%
[Tue Jun  9 17:19:30 2026] [Train] epo:27/30, batch_idx_tr:1171/1171, running_loss_tr:0.34, train acc:87.16%
[Tue Jun  9 17:25:06 2026] [Test] epo:27/30, batch_idx_tr:1171/1171, WAR_te:62.76%, UAR_te:55.91%
[Tue Jun  9 17:32:41 2026] [Train] epo:28/30, batch_idx_tr:1171/1171, running_loss_tr:0.29, train acc:88.93%
[Tue Jun  9 17:38:15 2026] [Test] epo:28/30, batch_idx_tr:1171/1171, WAR_te:67.12%, UAR_te:56.32%
[Tue Jun  9 17:45:51 2026] [Train] epo:29/30, batch_idx_tr:1171/1171, running_loss_tr:0.31, train acc:88.28%
[Tue Jun  9 17:51:26 2026] [Test] epo:29/30, batch_idx_tr:1171/1171, WAR_te:47.82%, UAR_te:53.77%
[Tue Jun  9 17:59:03 2026] [Train] epo:30/30, batch_idx_tr:1171/1171, running_loss_tr:0.33, train acc:87.63%
[Tue Jun  9 18:04:37 2026] [Test] epo:30/30, batch_idx_tr:1171/1171, WAR_te:63.83%, UAR_te:57.34%
