[Sat Apr 11 19:06:02 2026] Initilize: 1. Conv2d & Linear with kaiming_normal_ 2. BatchNorm2d with constant
[Sat Apr 11 19:06:02 2026] 
=======================================================
[Sat Apr 11 19:06:02 2026] --- ΒΑΣΙΚΕΣ ΡΥΘΜΙΣΕΙΣ ΠΕΙΡΑΜΑΤΟΣ ---
[Sat Apr 11 19:06:02 2026] Μοντέλο    : r3d_18
[Sat Apr 11 19:06:02 2026] Optimizer  : Adam (LR: 0.001)
[Sat Apr 11 19:06:02 2026] Scheduler  : ExponentialLR
[Sat Apr 11 19:06:02 2026] Αξιολόγηση : SINGLE CENTER-CROP (1 Crop)
[Sat Apr 11 19:06:02 2026] =======================================================

[Sat Apr 11 19:10:08 2026] [Train] epo:1/50, batch_idx_tr:293/293, running_loss_tr:1.90, train acc:21.06%
[Sat Apr 11 19:10:25 2026] [Test] epo:1/50, batch_idx_tr:293/293, WAR_te:22.09%, UAR_te:14.68%
[Sat Apr 11 19:13:45 2026] [Train] epo:2/50, batch_idx_tr:293/293, running_loss_tr:1.81, train acc:22.61%
[Sat Apr 11 19:14:01 2026] [Test] epo:2/50, batch_idx_tr:293/293, WAR_te:20.98%, UAR_te:16.99%
[Sat Apr 11 19:17:20 2026] [Train] epo:3/50, batch_idx_tr:293/293, running_loss_tr:1.80, train acc:23.23%
[Sat Apr 11 19:17:35 2026] [Test] epo:3/50, batch_idx_tr:293/293, WAR_te:24.70%, UAR_te:16.16%
[Sat Apr 11 19:20:55 2026] [Train] epo:4/50, batch_idx_tr:293/293, running_loss_tr:1.77, train acc:25.48%
[Sat Apr 11 19:21:11 2026] [Test] epo:4/50, batch_idx_tr:293/293, WAR_te:26.11%, UAR_te:18.88%
[Sat Apr 11 19:24:30 2026] [Train] epo:5/50, batch_idx_tr:293/293, running_loss_tr:1.75, train acc:27.30%
[Sat Apr 11 19:24:47 2026] [Test] epo:5/50, batch_idx_tr:293/293, WAR_te:21.67%, UAR_te:19.13%
[Sat Apr 11 19:28:06 2026] [Train] epo:6/50, batch_idx_tr:293/293, running_loss_tr:1.74, train acc:27.90%
[Sat Apr 11 19:28:22 2026] [Test] epo:6/50, batch_idx_tr:293/293, WAR_te:25.98%, UAR_te:19.28%
[Sat Apr 11 19:31:42 2026] [Train] epo:7/50, batch_idx_tr:293/293, running_loss_tr:1.72, train acc:28.00%
[Sat Apr 11 19:31:57 2026] [Test] epo:7/50, batch_idx_tr:293/293, WAR_te:21.28%, UAR_te:15.15%
[Sat Apr 11 19:35:17 2026] [Train] epo:8/50, batch_idx_tr:293/293, running_loss_tr:1.71, train acc:29.44%
[Sat Apr 11 19:35:33 2026] [Test] epo:8/50, batch_idx_tr:293/293, WAR_te:28.38%, UAR_te:20.78%
[Sat Apr 11 19:38:52 2026] [Train] epo:9/50, batch_idx_tr:293/293, running_loss_tr:1.68, train acc:31.21%
[Sat Apr 11 19:39:08 2026] [Test] epo:9/50, batch_idx_tr:293/293, WAR_te:31.71%, UAR_te:22.94%
[Sat Apr 11 19:42:28 2026] [Train] epo:10/50, batch_idx_tr:293/293, running_loss_tr:1.65, train acc:34.37%
[Sat Apr 11 19:42:44 2026] [Test] epo:10/50, batch_idx_tr:293/293, WAR_te:36.79%, UAR_te:28.07%
[Sat Apr 11 19:46:04 2026] [Train] epo:11/50, batch_idx_tr:293/293, running_loss_tr:1.55, train acc:39.67%
[Sat Apr 11 19:46:20 2026] [Test] epo:11/50, batch_idx_tr:293/293, WAR_te:42.18%, UAR_te:30.44%
[Sat Apr 11 19:49:39 2026] [Train] epo:12/50, batch_idx_tr:293/293, running_loss_tr:1.45, train acc:44.26%
[Sat Apr 11 19:49:55 2026] [Test] epo:12/50, batch_idx_tr:293/293, WAR_te:41.50%, UAR_te:32.63%
[Sat Apr 11 19:53:14 2026] [Train] epo:13/50, batch_idx_tr:293/293, running_loss_tr:1.39, train acc:46.87%
[Sat Apr 11 19:53:30 2026] [Test] epo:13/50, batch_idx_tr:293/293, WAR_te:45.17%, UAR_te:35.11%
[Sat Apr 11 19:56:49 2026] [Train] epo:14/50, batch_idx_tr:293/293, running_loss_tr:1.32, train acc:50.04%
[Sat Apr 11 19:57:05 2026] [Test] epo:14/50, batch_idx_tr:293/293, WAR_te:28.50%, UAR_te:22.01%
[Sat Apr 11 20:00:24 2026] [Train] epo:15/50, batch_idx_tr:293/293, running_loss_tr:1.25, train acc:52.73%
[Sat Apr 11 20:00:40 2026] [Test] epo:15/50, batch_idx_tr:293/293, WAR_te:51.88%, UAR_te:40.90%
[Sat Apr 11 20:03:59 2026] [Train] epo:16/50, batch_idx_tr:293/293, running_loss_tr:1.18, train acc:55.32%
[Sat Apr 11 20:04:14 2026] [Test] epo:16/50, batch_idx_tr:293/293, WAR_te:46.84%, UAR_te:36.79%
[Sat Apr 11 20:07:33 2026] [Train] epo:17/50, batch_idx_tr:293/293, running_loss_tr:1.11, train acc:58.27%
