[Sat Apr 11 11:12:45 2026] Initilize: 1. Conv2d & Linear with kaiming_normal_ 2. BatchNorm2d with constant
[Sat Apr 11 11:12:46 2026] 
=======================================================
[Sat Apr 11 11:12:46 2026] --- ΒΑΣΙΚΕΣ ΡΥΘΜΙΣΕΙΣ ΠΕΙΡΑΜΑΤΟΣ ---
[Sat Apr 11 11:12:46 2026] Μοντέλο    : r3d_18
[Sat Apr 11 11:12:46 2026] Optimizer  : Adam (LR: 0.001)
[Sat Apr 11 11:12:46 2026] Scheduler  : ExponentialLR
[Sat Apr 11 11:12:46 2026] Αξιολόγηση : SINGLE CENTER-CROP (1 Crop)
[Sat Apr 11 11:12:46 2026] =======================================================

[Sat Apr 11 12:35:37 2026] [Train] epo:23/50, batch_idx_tr:293/293, running_loss_tr:0.28, train acc:90.04%
[Sat Apr 11 12:35:52 2026] [Test] epo:23/50, batch_idx_tr:293/293, WAR_te:53.01%, UAR_te:41.76%
[Sat Apr 11 12:39:11 2026] [Train] epo:24/50, batch_idx_tr:293/293, running_loss_tr:0.18, train acc:93.63%
[Sat Apr 11 12:39:26 2026] [Test] epo:24/50, batch_idx_tr:293/293, WAR_te:52.97%, UAR_te:42.62%
[Sat Apr 11 12:42:45 2026] [Train] epo:25/50, batch_idx_tr:293/293, running_loss_tr:0.13, train acc:94.96%
[Sat Apr 11 12:43:02 2026] [Test] epo:25/50, batch_idx_tr:293/293, WAR_te:52.20%, UAR_te:44.32%
[Sat Apr 11 12:46:21 2026] [Train] epo:26/50, batch_idx_tr:293/293, running_loss_tr:0.13, train acc:95.24%
[Sat Apr 11 12:46:36 2026] [Test] epo:26/50, batch_idx_tr:293/293, WAR_te:54.51%, UAR_te:43.60%
[Sat Apr 11 12:49:55 2026] [Train] epo:27/50, batch_idx_tr:293/293, running_loss_tr:0.08, train acc:96.96%
[Sat Apr 11 12:50:10 2026] [Test] epo:27/50, batch_idx_tr:293/293, WAR_te:52.76%, UAR_te:43.12%
[Sat Apr 11 12:53:29 2026] [Train] epo:28/50, batch_idx_tr:293/293, running_loss_tr:0.08, train acc:97.31%
[Sat Apr 11 12:53:45 2026] [Test] epo:28/50, batch_idx_tr:293/293, WAR_te:52.88%, UAR_te:44.52%
[Sat Apr 11 12:57:04 2026] [Train] epo:29/50, batch_idx_tr:293/293, running_loss_tr:0.08, train acc:97.01%
[Sat Apr 11 12:57:20 2026] [Test] epo:29/50, batch_idx_tr:293/293, WAR_te:51.77%, UAR_te:41.44%
[Sat Apr 11 13:00:39 2026] [Train] epo:30/50, batch_idx_tr:293/293, running_loss_tr:0.09, train acc:97.05%
[Sat Apr 11 13:00:54 2026] [Test] epo:30/50, batch_idx_tr:293/293, WAR_te:52.33%, UAR_te:40.89%
[Sat Apr 11 13:04:13 2026] [Train] epo:31/50, batch_idx_tr:293/293, running_loss_tr:0.07, train acc:97.56%
[Sat Apr 11 13:04:28 2026] [Test] epo:31/50, batch_idx_tr:293/293, WAR_te:51.39%, UAR_te:42.64%
[Sat Apr 11 13:07:47 2026] [Train] epo:32/50, batch_idx_tr:293/293, running_loss_tr:0.06, train acc:97.96%
[Sat Apr 11 13:08:03 2026] [Test] epo:32/50, batch_idx_tr:293/293, WAR_te:52.41%, UAR_te:43.14%
[Sat Apr 11 13:11:22 2026] [Train] epo:33/50, batch_idx_tr:293/293, running_loss_tr:0.05, train acc:98.46%
[Sat Apr 11 13:11:37 2026] [Test] epo:33/50, batch_idx_tr:293/293, WAR_te:49.25%, UAR_te:42.20%
[Sat Apr 11 13:14:56 2026] [Train] epo:34/50, batch_idx_tr:293/293, running_loss_tr:0.09, train acc:96.93%
[Sat Apr 11 13:15:11 2026] [Test] epo:34/50, batch_idx_tr:293/293, WAR_te:49.34%, UAR_te:41.98%
[Sat Apr 11 13:18:30 2026] [Train] epo:35/50, batch_idx_tr:293/293, running_loss_tr:0.07, train acc:97.39%
[Sat Apr 11 13:18:46 2026] [Test] epo:35/50, batch_idx_tr:293/293, WAR_te:52.50%, UAR_te:42.63%
[Sat Apr 11 13:22:05 2026] [Train] epo:36/50, batch_idx_tr:293/293, running_loss_tr:0.05, train acc:98.56%
[Sat Apr 11 13:22:20 2026] [Test] epo:36/50, batch_idx_tr:293/293, WAR_te:53.01%, UAR_te:42.15%
[Sat Apr 11 13:25:39 2026] [Train] epo:37/50, batch_idx_tr:293/293, running_loss_tr:0.05, train acc:98.20%
[Sat Apr 11 13:25:55 2026] [Test] epo:37/50, batch_idx_tr:293/293, WAR_te:51.99%, UAR_te:42.94%
[Sat Apr 11 13:29:14 2026] [Train] epo:38/50, batch_idx_tr:293/293, running_loss_tr:0.05, train acc:98.40%
[Sat Apr 11 13:29:29 2026] [Test] epo:38/50, batch_idx_tr:293/293, WAR_te:52.29%, UAR_te:41.74%
[Sat Apr 11 13:32:48 2026] [Train] epo:39/50, batch_idx_tr:293/293, running_loss_tr:0.04, train acc:98.65%
[Sat Apr 11 13:33:03 2026] [Test] epo:39/50, batch_idx_tr:293/293, WAR_te:54.16%, UAR_te:42.83%
[Sat Apr 11 13:36:22 2026] [Train] epo:40/50, batch_idx_tr:293/293, running_loss_tr:0.06, train acc:98.07%
[Sat Apr 11 13:36:37 2026] [Test] epo:40/50, batch_idx_tr:293/293, WAR_te:53.74%, UAR_te:43.05%
[Sat Apr 11 13:39:56 2026] [Train] epo:41/50, batch_idx_tr:293/293, running_loss_tr:0.04, train acc:98.51%
[Sat Apr 11 13:40:12 2026] [Test] epo:41/50, batch_idx_tr:293/293, WAR_te:54.38%, UAR_te:44.01%
[Sat Apr 11 13:43:31 2026] [Train] epo:42/50, batch_idx_tr:293/293, running_loss_tr:0.04, train acc:98.88%
[Sat Apr 11 13:43:46 2026] [Test] epo:42/50, batch_idx_tr:293/293, WAR_te:54.16%, UAR_te:43.95%
[Sat Apr 11 13:47:05 2026] [Train] epo:43/50, batch_idx_tr:293/293, running_loss_tr:0.05, train acc:98.23%
[Sat Apr 11 13:47:21 2026] [Test] epo:43/50, batch_idx_tr:293/293, WAR_te:53.27%, UAR_te:43.42%
[Sat Apr 11 13:50:40 2026] [Train] epo:44/50, batch_idx_tr:293/293, running_loss_tr:0.05, train acc:98.33%
[Sat Apr 11 13:50:55 2026] [Test] epo:44/50, batch_idx_tr:293/293, WAR_te:52.54%, UAR_te:42.50%
[Sat Apr 11 13:54:14 2026] [Train] epo:45/50, batch_idx_tr:293/293, running_loss_tr:0.04, train acc:98.74%
[Sat Apr 11 13:54:30 2026] [Test] epo:45/50, batch_idx_tr:293/293, WAR_te:53.52%, UAR_te:44.50%
[Sat Apr 11 13:57:49 2026] [Train] epo:46/50, batch_idx_tr:293/293, running_loss_tr:0.03, train acc:99.12%
[Sat Apr 11 13:58:04 2026] [Test] epo:46/50, batch_idx_tr:293/293, WAR_te:52.80%, UAR_te:42.17%
[Sat Apr 11 14:01:23 2026] [Train] epo:47/50, batch_idx_tr:293/293, running_loss_tr:0.03, train acc:99.01%
[Sat Apr 11 14:01:38 2026] [Test] epo:47/50, batch_idx_tr:293/293, WAR_te:51.43%, UAR_te:41.83%
[Sat Apr 11 14:04:57 2026] [Train] epo:48/50, batch_idx_tr:293/293, running_loss_tr:0.04, train acc:98.92%
[Sat Apr 11 14:05:13 2026] [Test] epo:48/50, batch_idx_tr:293/293, WAR_te:53.18%, UAR_te:42.37%
[Sat Apr 11 14:08:32 2026] [Train] epo:49/50, batch_idx_tr:293/293, running_loss_tr:0.05, train acc:98.19%
[Sat Apr 11 14:08:47 2026] [Test] epo:49/50, batch_idx_tr:293/293, WAR_te:51.86%, UAR_te:42.10%
[Sat Apr 11 14:12:06 2026] [Train] epo:50/50, batch_idx_tr:293/293, running_loss_tr:0.04, train acc:98.77%
[Sat Apr 11 14:12:21 2026] [Test] epo:50/50, batch_idx_tr:293/293, WAR_te:52.29%, UAR_te:40.03%
