[Sat Feb 14 13:22:45 2026] Initilize: 1. Conv2d & Linear with kaiming_normal_ 2. BatchNorm2d with constant
[Sat Feb 14 18:16:26 2026] [Train] epo:25/50, batch_idx_tr:293/293, running_loss_tr:0.78, train acc:70.74%
[Sat Feb 14 18:21:04 2026] [Test] epo:25/50, batch_idx_tr:293/293, WAR_te:61.32%, UAR_te:50.48%
[Sat Feb 14 18:29:09 2026] [Train] epo:26/50, batch_idx_tr:293/293, running_loss_tr:0.78, train acc:70.25%
[Sat Feb 14 18:33:45 2026] [Test] epo:26/50, batch_idx_tr:293/293, WAR_te:60.26%, UAR_te:49.05%
[Sat Feb 14 18:41:48 2026] [Train] epo:27/50, batch_idx_tr:293/293, running_loss_tr:0.76, train acc:71.79%
[Sat Feb 14 18:46:24 2026] [Test] epo:27/50, batch_idx_tr:293/293, WAR_te:61.28%, UAR_te:49.56%
[Sat Feb 14 18:54:30 2026] [Train] epo:28/50, batch_idx_tr:293/293, running_loss_tr:0.74, train acc:71.67%
[Sat Feb 14 18:59:11 2026] [Test] epo:28/50, batch_idx_tr:293/293, WAR_te:56.20%, UAR_te:44.41%
[Sat Feb 14 19:05:58 2026] [Train] epo:29/50, batch_idx_tr:293/293, running_loss_tr:0.71, train acc:73.61%
[Sat Feb 14 19:09:17 2026] [Test] epo:29/50, batch_idx_tr:293/293, WAR_te:58.89%, UAR_te:48.14%
[Sat Feb 14 19:15:00 2026] [Train] epo:30/50, batch_idx_tr:293/293, running_loss_tr:0.72, train acc:73.19%
[Sat Feb 14 19:18:50 2026] [Test] epo:30/50, batch_idx_tr:293/293, WAR_te:59.02%, UAR_te:47.89%
[Sat Feb 14 19:27:01 2026] [Train] epo:31/50, batch_idx_tr:293/293, running_loss_tr:0.70, train acc:73.52%
[Sat Feb 14 19:31:41 2026] [Test] epo:31/50, batch_idx_tr:293/293, WAR_te:58.68%, UAR_te:45.91%
[Sat Feb 14 19:39:44 2026] [Train] epo:32/50, batch_idx_tr:293/293, running_loss_tr:0.69, train acc:74.70%
[Sat Feb 14 19:44:23 2026] [Test] epo:32/50, batch_idx_tr:293/293, WAR_te:62.09%, UAR_te:49.35%
[Sat Feb 14 19:52:25 2026] [Train] epo:33/50, batch_idx_tr:293/293, running_loss_tr:0.67, train acc:74.96%
[Sat Feb 14 19:57:04 2026] [Test] epo:33/50, batch_idx_tr:293/293, WAR_te:59.23%, UAR_te:48.70%
[Sat Feb 14 20:05:12 2026] [Train] epo:34/50, batch_idx_tr:293/293, running_loss_tr:0.67, train acc:74.98%
[Sat Feb 14 20:09:48 2026] [Test] epo:34/50, batch_idx_tr:293/293, WAR_te:58.80%, UAR_te:46.98%
[Sat Feb 14 20:17:55 2026] [Train] epo:35/50, batch_idx_tr:293/293, running_loss_tr:0.64, train acc:75.62%
[Sat Feb 14 20:22:36 2026] [Test] epo:35/50, batch_idx_tr:293/293, WAR_te:61.20%, UAR_te:50.11%
[Sat Feb 14 20:29:10 2026] [Train] epo:36/50, batch_idx_tr:293/293, running_loss_tr:0.64, train acc:75.79%
[Sat Feb 14 20:32:29 2026] [Test] epo:36/50, batch_idx_tr:293/293, WAR_te:61.62%, UAR_te:49.78%
[Sat Feb 14 20:38:13 2026] [Train] epo:37/50, batch_idx_tr:293/293, running_loss_tr:0.64, train acc:75.69%
[Sat Feb 14 20:42:15 2026] [Test] epo:37/50, batch_idx_tr:293/293, WAR_te:59.74%, UAR_te:47.30%
[Sat Feb 14 20:50:21 2026] [Train] epo:38/50, batch_idx_tr:293/293, running_loss_tr:0.61, train acc:77.47%
[Sat Feb 14 20:55:00 2026] [Test] epo:38/50, batch_idx_tr:293/293, WAR_te:54.27%, UAR_te:43.52%
[Sat Feb 14 21:02:59 2026] [Train] epo:39/50, batch_idx_tr:293/293, running_loss_tr:0.61, train acc:77.23%
[Sat Feb 14 21:07:37 2026] [Test] epo:39/50, batch_idx_tr:293/293, WAR_te:60.04%, UAR_te:46.95%
[Sat Feb 14 21:15:37 2026] [Train] epo:40/50, batch_idx_tr:293/293, running_loss_tr:0.59, train acc:77.81%
[Sat Feb 14 21:20:18 2026] [Test] epo:40/50, batch_idx_tr:293/293, WAR_te:61.28%, UAR_te:50.18%
[Sat Feb 14 21:28:22 2026] [Train] epo:41/50, batch_idx_tr:293/293, running_loss_tr:0.58, train acc:78.48%
[Sat Feb 14 21:32:57 2026] [Test] epo:41/50, batch_idx_tr:293/293, WAR_te:57.26%, UAR_te:50.76%
[Sat Feb 14 21:41:04 2026] [Train] epo:42/50, batch_idx_tr:293/293, running_loss_tr:0.57, train acc:78.74%
[Sat Feb 14 21:45:45 2026] [Test] epo:42/50, batch_idx_tr:293/293, WAR_te:56.75%, UAR_te:45.31%
[Sat Feb 14 21:52:18 2026] [Train] epo:43/50, batch_idx_tr:293/293, running_loss_tr:0.57, train acc:79.16%
[Sat Feb 14 21:55:38 2026] [Test] epo:43/50, batch_idx_tr:293/293, WAR_te:58.76%, UAR_te:47.91%
[Sat Feb 14 22:01:21 2026] [Train] epo:44/50, batch_idx_tr:293/293, running_loss_tr:0.57, train acc:78.83%
[Sat Feb 14 22:05:05 2026] [Test] epo:44/50, batch_idx_tr:293/293, WAR_te:58.59%, UAR_te:47.46%
[Sat Feb 14 22:12:51 2026] [Train] epo:45/50, batch_idx_tr:293/293, running_loss_tr:0.57, train acc:79.06%
[Sat Feb 14 22:17:17 2026] [Test] epo:45/50, batch_idx_tr:293/293, WAR_te:58.42%, UAR_te:45.28%
[Sat Feb 14 22:24:59 2026] [Train] epo:46/50, batch_idx_tr:293/293, running_loss_tr:0.53, train acc:80.25%
[Sat Feb 14 22:29:24 2026] [Test] epo:46/50, batch_idx_tr:293/293, WAR_te:55.26%, UAR_te:43.23%
[Sat Feb 14 22:37:10 2026] [Train] epo:47/50, batch_idx_tr:293/293, running_loss_tr:0.54, train acc:79.77%
[Sat Feb 14 22:41:36 2026] [Test] epo:47/50, batch_idx_tr:293/293, WAR_te:59.32%, UAR_te:48.31%
[Sat Feb 14 22:49:19 2026] [Train] epo:48/50, batch_idx_tr:293/293, running_loss_tr:0.54, train acc:80.35%
[Sat Feb 14 22:53:45 2026] [Test] epo:48/50, batch_idx_tr:293/293, WAR_te:58.55%, UAR_te:49.75%
[Sat Feb 14 23:01:26 2026] [Train] epo:49/50, batch_idx_tr:293/293, running_loss_tr:0.50, train acc:81.46%
[Sat Feb 14 23:05:56 2026] [Test] epo:49/50, batch_idx_tr:293/293, WAR_te:55.43%, UAR_te:46.49%
[Sat Feb 14 23:13:40 2026] [Train] epo:50/50, batch_idx_tr:293/293, running_loss_tr:0.52, train acc:80.87%
[Sat Feb 14 23:17:26 2026] [Test] epo:50/50, batch_idx_tr:293/293, WAR_te:54.06%, UAR_te:44.37%
