[Mon Apr  6 09:16:05 2026] Initilize: 1. Conv2d & Linear with kaiming_normal_ 2. BatchNorm2d with constant
[Mon Apr  6 09:20:44 2026] [Train] epo:1/50, batch_idx_tr:293/293, running_loss_tr:1.85, train acc:22.88%
[Mon Apr  6 09:21:03 2026] [Test] epo:1/50, batch_idx_tr:293/293, WAR_te:24.79%, UAR_te:16.21%
[Mon Apr  6 09:24:52 2026] [Train] epo:2/50, batch_idx_tr:293/293, running_loss_tr:1.77, train acc:24.62%
[Mon Apr  6 09:25:10 2026] [Test] epo:2/50, batch_idx_tr:293/293, WAR_te:23.63%, UAR_te:16.31%
[Mon Apr  6 09:28:58 2026] [Train] epo:3/50, batch_idx_tr:293/293, running_loss_tr:1.75, train acc:26.64%
[Mon Apr  6 09:29:17 2026] [Test] epo:3/50, batch_idx_tr:293/293, WAR_te:27.65%, UAR_te:19.85%
[Mon Apr  6 09:33:04 2026] [Train] epo:4/50, batch_idx_tr:293/293, running_loss_tr:1.71, train acc:28.35%
[Mon Apr  6 09:33:22 2026] [Test] epo:4/50, batch_idx_tr:293/293, WAR_te:31.11%, UAR_te:22.12%
[Mon Apr  6 09:37:10 2026] [Train] epo:5/50, batch_idx_tr:293/293, running_loss_tr:1.64, train acc:33.52%
[Mon Apr  6 09:37:28 2026] [Test] epo:5/50, batch_idx_tr:293/293, WAR_te:34.62%, UAR_te:28.55%
[Mon Apr  6 09:41:16 2026] [Train] epo:6/50, batch_idx_tr:293/293, running_loss_tr:1.54, train acc:39.96%
[Mon Apr  6 09:41:34 2026] [Test] epo:6/50, batch_idx_tr:293/293, WAR_te:34.36%, UAR_te:26.85%
[Mon Apr  6 09:45:22 2026] [Train] epo:7/50, batch_idx_tr:293/293, running_loss_tr:1.45, train acc:44.10%
[Mon Apr  6 09:45:41 2026] [Test] epo:7/50, batch_idx_tr:293/293, WAR_te:40.73%, UAR_te:32.64%
[Mon Apr  6 09:49:28 2026] [Train] epo:8/50, batch_idx_tr:293/293, running_loss_tr:1.37, train acc:47.85%
[Mon Apr  6 09:49:47 2026] [Test] epo:8/50, batch_idx_tr:293/293, WAR_te:43.89%, UAR_te:38.04%
[Mon Apr  6 09:53:35 2026] [Train] epo:9/50, batch_idx_tr:293/293, running_loss_tr:1.28, train acc:51.74%
[Mon Apr  6 09:53:53 2026] [Test] epo:9/50, batch_idx_tr:293/293, WAR_te:52.35%, UAR_te:41.30%
[Mon Apr  6 09:57:40 2026] [Train] epo:10/50, batch_idx_tr:293/293, running_loss_tr:1.22, train acc:53.84%
[Mon Apr  6 09:57:59 2026] [Test] epo:10/50, batch_idx_tr:293/293, WAR_te:51.88%, UAR_te:40.83%
