[Fri Feb 13 15:06:58 2026] Initilize: 1. Conv2d & Linear with kaiming_normal_ 2. BatchNorm2d with constant
[Fri Feb 13 21:42:02 2026] [Train] epo:25/50, batch_idx_tr:293/293, running_loss_tr:0.75, train acc:72.11%
[Fri Feb 13 21:47:36 2026] [Test] epo:25/50, batch_idx_tr:293/293, WAR_te:56.90%, UAR_te:42.75%
[Fri Feb 13 21:54:56 2026] [Train] epo:26/50, batch_idx_tr:293/293, running_loss_tr:0.74, train acc:71.48%
[Fri Feb 13 21:59:32 2026] [Test] epo:26/50, batch_idx_tr:293/293, WAR_te:54.93%, UAR_te:42.03%
[Fri Feb 13 22:08:59 2026] [Train] epo:27/50, batch_idx_tr:293/293, running_loss_tr:0.73, train acc:72.92%
[Fri Feb 13 22:15:28 2026] [Test] epo:27/50, batch_idx_tr:293/293, WAR_te:57.54%, UAR_te:44.19%
[Fri Feb 13 22:25:55 2026] [Train] epo:28/50, batch_idx_tr:293/293, running_loss_tr:0.72, train acc:73.11%
[Fri Feb 13 22:32:27 2026] [Test] epo:28/50, batch_idx_tr:293/293, WAR_te:57.11%, UAR_te:43.82%
[Fri Feb 13 22:42:55 2026] [Train] epo:29/50, batch_idx_tr:293/293, running_loss_tr:0.72, train acc:73.04%
[Fri Feb 13 22:49:25 2026] [Test] epo:29/50, batch_idx_tr:293/293, WAR_te:59.21%, UAR_te:49.60%
[Fri Feb 13 22:59:54 2026] [Train] epo:30/50, batch_idx_tr:293/293, running_loss_tr:0.69, train acc:74.57%
[Fri Feb 13 23:06:16 2026] [Test] epo:30/50, batch_idx_tr:293/293, WAR_te:59.55%, UAR_te:48.41%
[Fri Feb 13 23:16:47 2026] [Train] epo:31/50, batch_idx_tr:293/293, running_loss_tr:0.68, train acc:74.59%
[Fri Feb 13 23:21:18 2026] [Test] epo:31/50, batch_idx_tr:293/293, WAR_te:57.37%, UAR_te:47.16%
[Fri Feb 13 23:28:39 2026] [Train] epo:32/50, batch_idx_tr:293/293, running_loss_tr:0.68, train acc:73.97%
[Fri Feb 13 23:33:14 2026] [Test] epo:32/50, batch_idx_tr:293/293, WAR_te:55.06%, UAR_te:43.89%
[Fri Feb 13 23:43:42 2026] [Train] epo:33/50, batch_idx_tr:293/293, running_loss_tr:0.66, train acc:75.30%
[Fri Feb 13 23:50:14 2026] [Test] epo:33/50, batch_idx_tr:293/293, WAR_te:54.72%, UAR_te:42.73%
[Sat Feb 14 00:00:43 2026] [Train] epo:34/50, batch_idx_tr:293/293, running_loss_tr:0.66, train acc:75.80%
[Sat Feb 14 00:07:13 2026] [Test] epo:34/50, batch_idx_tr:293/293, WAR_te:48.57%, UAR_te:40.31%
[Sat Feb 14 00:17:42 2026] [Train] epo:35/50, batch_idx_tr:293/293, running_loss_tr:0.64, train acc:75.91%
[Sat Feb 14 00:24:13 2026] [Test] epo:35/50, batch_idx_tr:293/293, WAR_te:58.09%, UAR_te:47.20%
[Sat Feb 14 00:34:41 2026] [Train] epo:36/50, batch_idx_tr:293/293, running_loss_tr:0.62, train acc:76.70%
[Sat Feb 14 00:41:11 2026] [Test] epo:36/50, batch_idx_tr:293/293, WAR_te:56.17%, UAR_te:45.55%
[Sat Feb 14 00:50:28 2026] [Train] epo:37/50, batch_idx_tr:293/293, running_loss_tr:0.63, train acc:76.21%
[Sat Feb 14 00:55:03 2026] [Test] epo:37/50, batch_idx_tr:293/293, WAR_te:55.15%, UAR_te:44.50%
[Sat Feb 14 01:02:25 2026] [Train] epo:38/50, batch_idx_tr:293/293, running_loss_tr:0.61, train acc:77.27%
[Sat Feb 14 01:08:20 2026] [Test] epo:38/50, batch_idx_tr:293/293, WAR_te:57.07%, UAR_te:45.53%
[Sat Feb 14 01:18:49 2026] [Train] epo:39/50, batch_idx_tr:293/293, running_loss_tr:0.61, train acc:76.90%
[Sat Feb 14 01:25:19 2026] [Test] epo:39/50, batch_idx_tr:293/293, WAR_te:56.30%, UAR_te:45.30%
[Sat Feb 14 01:35:50 2026] [Train] epo:40/50, batch_idx_tr:293/293, running_loss_tr:0.59, train acc:77.79%
[Sat Feb 14 01:42:18 2026] [Test] epo:40/50, batch_idx_tr:293/293, WAR_te:55.70%, UAR_te:42.39%
[Sat Feb 14 01:52:49 2026] [Train] epo:41/50, batch_idx_tr:293/293, running_loss_tr:0.58, train acc:77.95%
[Sat Feb 14 01:59:19 2026] [Test] epo:41/50, batch_idx_tr:293/293, WAR_te:60.23%, UAR_te:47.99%
[Sat Feb 14 02:09:50 2026] [Train] epo:42/50, batch_idx_tr:293/293, running_loss_tr:0.58, train acc:78.14%
[Sat Feb 14 02:16:23 2026] [Test] epo:42/50, batch_idx_tr:293/293, WAR_te:59.25%, UAR_te:49.25%
[Sat Feb 14 02:24:13 2026] [Train] epo:43/50, batch_idx_tr:293/293, running_loss_tr:0.57, train acc:78.45%
[Sat Feb 14 02:28:49 2026] [Test] epo:43/50, batch_idx_tr:293/293, WAR_te:55.92%, UAR_te:44.47%
[Sat Feb 14 02:36:36 2026] [Train] epo:44/50, batch_idx_tr:293/293, running_loss_tr:0.55, train acc:79.24%
[Sat Feb 14 02:43:05 2026] [Test] epo:44/50, batch_idx_tr:293/293, WAR_te:54.25%, UAR_te:41.77%
[Sat Feb 14 02:53:35 2026] [Train] epo:45/50, batch_idx_tr:293/293, running_loss_tr:0.56, train acc:79.03%
[Sat Feb 14 03:00:02 2026] [Test] epo:45/50, batch_idx_tr:293/293, WAR_te:56.26%, UAR_te:47.68%
[Sat Feb 14 03:10:34 2026] [Train] epo:46/50, batch_idx_tr:293/293, running_loss_tr:0.53, train acc:80.32%
[Sat Feb 14 03:17:02 2026] [Test] epo:46/50, batch_idx_tr:293/293, WAR_te:56.17%, UAR_te:45.16%
[Sat Feb 14 03:27:35 2026] [Train] epo:47/50, batch_idx_tr:293/293, running_loss_tr:0.53, train acc:80.15%
[Sat Feb 14 03:34:07 2026] [Test] epo:47/50, batch_idx_tr:293/293, WAR_te:55.19%, UAR_te:43.96%
[Sat Feb 14 03:44:38 2026] [Train] epo:48/50, batch_idx_tr:293/293, running_loss_tr:0.51, train acc:81.31%
[Sat Feb 14 03:50:36 2026] [Test] epo:48/50, batch_idx_tr:293/293, WAR_te:56.90%, UAR_te:47.41%
[Sat Feb 14 03:57:54 2026] [Train] epo:49/50, batch_idx_tr:293/293, running_loss_tr:0.53, train acc:79.84%
[Sat Feb 14 04:02:31 2026] [Test] epo:49/50, batch_idx_tr:293/293, WAR_te:56.60%, UAR_te:45.14%
[Sat Feb 14 04:11:27 2026] [Train] epo:50/50, batch_idx_tr:293/293, running_loss_tr:0.50, train acc:81.43%
[Sat Feb 14 04:17:59 2026] [Test] epo:50/50, batch_idx_tr:293/293, WAR_te:54.85%, UAR_te:43.23%
