[Mon Apr 13 11:19:50 2026] Initilize: 1. Conv2d & Linear with kaiming_normal_ 2. BatchNorm2d with constant
[Mon Apr 13 11:19:50 2026] 
=======================================================
[Mon Apr 13 11:19:50 2026] --- ΒΑΣΙΚΕΣ ΡΥΘΜΙΣΕΙΣ ΠΕΙΡΑΜΑΤΟΣ ---
[Mon Apr 13 11:19:50 2026] Μοντέλο    : r3d_18
[Mon Apr 13 11:19:50 2026] Optimizer  : Adam (LR: 0.001)
[Mon Apr 13 11:19:50 2026] Scheduler  : ExponentialLR
[Mon Apr 13 11:19:50 2026] Αξιολόγηση : SINGLE CENTER-CROP (1 Crop)
[Mon Apr 13 11:19:50 2026] =======================================================

[Mon Apr 13 12:45:42 2026] [Train] epo:23/50, batch_idx_tr:293/293, running_loss_tr:0.21, train acc:92.64%
[Mon Apr 13 12:45:58 2026] [Test] epo:23/50, batch_idx_tr:293/293, WAR_te:51.28%, UAR_te:43.97%
[Mon Apr 13 12:49:22 2026] [Train] epo:24/50, batch_idx_tr:293/293, running_loss_tr:0.17, train acc:94.08%
[Mon Apr 13 12:49:38 2026] [Test] epo:24/50, batch_idx_tr:293/293, WAR_te:51.07%, UAR_te:41.85%
[Mon Apr 13 12:53:01 2026] [Train] epo:25/50, batch_idx_tr:293/293, running_loss_tr:0.11, train acc:96.40%
[Mon Apr 13 12:53:17 2026] [Test] epo:25/50, batch_idx_tr:293/293, WAR_te:47.30%, UAR_te:42.16%
[Mon Apr 13 12:56:40 2026] [Train] epo:26/50, batch_idx_tr:293/293, running_loss_tr:0.10, train acc:96.76%
[Mon Apr 13 12:56:56 2026] [Test] epo:26/50, batch_idx_tr:293/293, WAR_te:51.24%, UAR_te:44.23%
[Mon Apr 13 13:00:20 2026] [Train] epo:27/50, batch_idx_tr:293/293, running_loss_tr:0.08, train acc:97.25%
[Mon Apr 13 13:00:35 2026] [Test] epo:27/50, batch_idx_tr:293/293, WAR_te:51.67%, UAR_te:43.99%
[Mon Apr 13 13:03:59 2026] [Train] epo:28/50, batch_idx_tr:293/293, running_loss_tr:0.09, train acc:97.13%
[Mon Apr 13 13:04:15 2026] [Test] epo:28/50, batch_idx_tr:293/293, WAR_te:51.84%, UAR_te:44.38%
[Mon Apr 13 13:07:38 2026] [Train] epo:29/50, batch_idx_tr:293/293, running_loss_tr:0.09, train acc:96.56%
[Mon Apr 13 13:07:54 2026] [Test] epo:29/50, batch_idx_tr:293/293, WAR_te:51.63%, UAR_te:42.99%
[Mon Apr 13 13:11:17 2026] [Train] epo:30/50, batch_idx_tr:293/293, running_loss_tr:0.06, train acc:98.19%
[Mon Apr 13 13:11:33 2026] [Test] epo:30/50, batch_idx_tr:293/293, WAR_te:50.73%, UAR_te:44.83%
[Mon Apr 13 13:14:56 2026] [Train] epo:31/50, batch_idx_tr:293/293, running_loss_tr:0.05, train acc:98.23%
[Mon Apr 13 13:15:12 2026] [Test] epo:31/50, batch_idx_tr:293/293, WAR_te:52.74%, UAR_te:44.34%
[Mon Apr 13 13:18:35 2026] [Train] epo:32/50, batch_idx_tr:293/293, running_loss_tr:0.08, train acc:97.12%
[Mon Apr 13 13:18:51 2026] [Test] epo:32/50, batch_idx_tr:293/293, WAR_te:52.18%, UAR_te:45.21%
[Mon Apr 13 13:22:15 2026] [Train] epo:33/50, batch_idx_tr:293/293, running_loss_tr:0.06, train acc:97.80%
[Mon Apr 13 13:22:30 2026] [Test] epo:33/50, batch_idx_tr:293/293, WAR_te:52.74%, UAR_te:45.43%
[Mon Apr 13 13:25:54 2026] [Train] epo:34/50, batch_idx_tr:293/293, running_loss_tr:0.06, train acc:98.17%
[Mon Apr 13 13:26:10 2026] [Test] epo:34/50, batch_idx_tr:293/293, WAR_te:51.50%, UAR_te:40.51%
[Mon Apr 13 13:29:33 2026] [Train] epo:35/50, batch_idx_tr:293/293, running_loss_tr:0.05, train acc:98.33%
[Mon Apr 13 13:29:48 2026] [Test] epo:35/50, batch_idx_tr:293/293, WAR_te:50.94%, UAR_te:40.94%
[Mon Apr 13 13:33:11 2026] [Train] epo:36/50, batch_idx_tr:293/293, running_loss_tr:0.06, train acc:98.09%
[Mon Apr 13 13:33:27 2026] [Test] epo:36/50, batch_idx_tr:293/293, WAR_te:50.98%, UAR_te:40.93%
[Mon Apr 13 13:36:51 2026] [Train] epo:37/50, batch_idx_tr:293/293, running_loss_tr:0.05, train acc:98.23%
[Mon Apr 13 13:37:06 2026] [Test] epo:37/50, batch_idx_tr:293/293, WAR_te:51.67%, UAR_te:42.68%
[Mon Apr 13 13:40:30 2026] [Train] epo:38/50, batch_idx_tr:293/293, running_loss_tr:0.06, train acc:98.14%
[Mon Apr 13 13:40:45 2026] [Test] epo:38/50, batch_idx_tr:293/293, WAR_te:53.51%, UAR_te:43.88%
[Mon Apr 13 13:44:09 2026] [Train] epo:39/50, batch_idx_tr:293/293, running_loss_tr:0.04, train acc:98.45%
[Mon Apr 13 13:44:24 2026] [Test] epo:39/50, batch_idx_tr:293/293, WAR_te:52.83%, UAR_te:44.52%
[Mon Apr 13 13:47:47 2026] [Train] epo:40/50, batch_idx_tr:293/293, running_loss_tr:0.04, train acc:98.63%
[Mon Apr 13 13:48:03 2026] [Test] epo:40/50, batch_idx_tr:293/293, WAR_te:51.16%, UAR_te:43.55%
[Mon Apr 13 13:51:26 2026] [Train] epo:41/50, batch_idx_tr:293/293, running_loss_tr:0.04, train acc:98.45%
[Mon Apr 13 13:51:42 2026] [Test] epo:41/50, batch_idx_tr:293/293, WAR_te:50.30%, UAR_te:43.02%
[Mon Apr 13 13:55:06 2026] [Train] epo:42/50, batch_idx_tr:293/293, running_loss_tr:0.05, train acc:98.57%
[Mon Apr 13 13:55:22 2026] [Test] epo:42/50, batch_idx_tr:293/293, WAR_te:50.00%, UAR_te:41.88%
[Mon Apr 13 13:58:45 2026] [Train] epo:43/50, batch_idx_tr:293/293, running_loss_tr:0.03, train acc:98.99%
[Mon Apr 13 13:59:00 2026] [Test] epo:43/50, batch_idx_tr:293/293, WAR_te:50.43%, UAR_te:42.34%
[Mon Apr 13 14:02:24 2026] [Train] epo:44/50, batch_idx_tr:293/293, running_loss_tr:0.03, train acc:98.94%
[Mon Apr 13 14:02:40 2026] [Test] epo:44/50, batch_idx_tr:293/293, WAR_te:54.24%, UAR_te:43.89%
[Mon Apr 13 14:06:03 2026] [Train] epo:45/50, batch_idx_tr:293/293, running_loss_tr:0.02, train acc:99.49%
[Mon Apr 13 14:06:19 2026] [Test] epo:45/50, batch_idx_tr:293/293, WAR_te:49.83%, UAR_te:42.08%
[Mon Apr 13 14:09:42 2026] [Train] epo:46/50, batch_idx_tr:293/293, running_loss_tr:0.05, train acc:98.45%
[Mon Apr 13 14:09:58 2026] [Test] epo:46/50, batch_idx_tr:293/293, WAR_te:50.21%, UAR_te:41.72%
[Mon Apr 13 14:13:21 2026] [Train] epo:47/50, batch_idx_tr:293/293, running_loss_tr:0.05, train acc:98.09%
[Mon Apr 13 14:13:37 2026] [Test] epo:47/50, batch_idx_tr:293/293, WAR_te:51.93%, UAR_te:42.77%
[Mon Apr 13 14:17:00 2026] [Train] epo:48/50, batch_idx_tr:293/293, running_loss_tr:0.03, train acc:99.09%
[Mon Apr 13 14:17:16 2026] [Test] epo:48/50, batch_idx_tr:293/293, WAR_te:54.58%, UAR_te:44.66%
[Mon Apr 13 14:20:39 2026] [Train] epo:49/50, batch_idx_tr:293/293, running_loss_tr:0.04, train acc:98.65%
[Mon Apr 13 14:20:55 2026] [Test] epo:49/50, batch_idx_tr:293/293, WAR_te:51.58%, UAR_te:41.02%
[Mon Apr 13 14:24:18 2026] [Train] epo:50/50, batch_idx_tr:293/293, running_loss_tr:0.03, train acc:98.87%
[Mon Apr 13 14:24:34 2026] [Test] epo:50/50, batch_idx_tr:293/293, WAR_te:53.21%, UAR_te:44.93%
