[Wed May 20 00:25:16 2026] Initilize: 1. Conv2d & Linear with kaiming_normal_ 2. BatchNorm2d with constant
[Wed May 20 00:25:16 2026] 
=======================================================
[Wed May 20 00:25:16 2026] --- ΒΑΣΙΚΕΣ ΡΥΘΜΙΣΕΙΣ ΠΕΙΡΑΜΑΤΟΣ ---
[Wed May 20 00:25:16 2026] Μοντέλο    : r3d_18
[Wed May 20 00:25:16 2026] Optimizer  : Adam (LR: 0.001)
[Wed May 20 00:25:16 2026] Scheduler  : ExponentialLR
[Wed May 20 00:25:16 2026] Αξιολόγηση : SINGLE CENTER-CROP (1 Crop)
[Wed May 20 00:25:16 2026] =======================================================

[Wed May 20 01:48:34 2026] [Test] epo:23/50, batch_idx_tr:293/293, WAR_te:49.42%, UAR_te:41.31%
[Wed May 20 01:51:54 2026] [Train] epo:24/50, batch_idx_tr:293/293, running_loss_tr:0.36, train acc:86.70%
[Wed May 20 01:52:09 2026] [Test] epo:24/50, batch_idx_tr:293/293, WAR_te:51.05%, UAR_te:41.39%
[Wed May 20 01:55:29 2026] [Train] epo:25/50, batch_idx_tr:293/293, running_loss_tr:0.25, train acc:91.09%
[Wed May 20 01:55:44 2026] [Test] epo:25/50, batch_idx_tr:293/293, WAR_te:48.95%, UAR_te:41.25%
[Wed May 20 01:59:03 2026] [Train] epo:26/50, batch_idx_tr:293/293, running_loss_tr:0.17, train acc:94.07%
[Wed May 20 01:59:19 2026] [Test] epo:26/50, batch_idx_tr:293/293, WAR_te:49.12%, UAR_te:40.54%
[Wed May 20 02:02:38 2026] [Train] epo:27/50, batch_idx_tr:293/293, running_loss_tr:0.14, train acc:95.10%
[Wed May 20 02:02:54 2026] [Test] epo:27/50, batch_idx_tr:293/293, WAR_te:50.96%, UAR_te:40.80%
[Wed May 20 02:06:13 2026] [Train] epo:28/50, batch_idx_tr:293/293, running_loss_tr:0.12, train acc:95.89%
[Wed May 20 02:06:29 2026] [Test] epo:28/50, batch_idx_tr:293/293, WAR_te:50.15%, UAR_te:43.40%
[Wed May 20 02:09:49 2026] [Train] epo:29/50, batch_idx_tr:293/293, running_loss_tr:0.11, train acc:96.21%
[Wed May 20 02:10:04 2026] [Test] epo:29/50, batch_idx_tr:293/293, WAR_te:47.71%, UAR_te:39.77%
[Wed May 20 02:13:24 2026] [Train] epo:30/50, batch_idx_tr:293/293, running_loss_tr:0.08, train acc:97.31%
[Wed May 20 02:13:39 2026] [Test] epo:30/50, batch_idx_tr:293/293, WAR_te:51.13%, UAR_te:42.65%
[Wed May 20 02:16:58 2026] [Train] epo:31/50, batch_idx_tr:293/293, running_loss_tr:0.06, train acc:98.18%
[Wed May 20 02:17:13 2026] [Test] epo:31/50, batch_idx_tr:293/293, WAR_te:49.04%, UAR_te:39.05%
[Wed May 20 02:20:33 2026] [Train] epo:32/50, batch_idx_tr:293/293, running_loss_tr:0.08, train acc:97.44%
[Wed May 20 02:20:48 2026] [Test] epo:32/50, batch_idx_tr:293/293, WAR_te:48.44%, UAR_te:39.60%
[Wed May 20 02:24:08 2026] [Train] epo:33/50, batch_idx_tr:293/293, running_loss_tr:0.07, train acc:97.52%
[Wed May 20 02:24:23 2026] [Test] epo:33/50, batch_idx_tr:293/293, WAR_te:49.94%, UAR_te:39.93%
[Wed May 20 02:27:42 2026] [Train] epo:34/50, batch_idx_tr:293/293, running_loss_tr:0.08, train acc:97.46%
[Wed May 20 02:27:58 2026] [Test] epo:34/50, batch_idx_tr:293/293, WAR_te:49.04%, UAR_te:38.88%
[Wed May 20 02:31:17 2026] [Train] epo:35/50, batch_idx_tr:293/293, running_loss_tr:0.08, train acc:97.22%
[Wed May 20 02:31:33 2026] [Test] epo:35/50, batch_idx_tr:293/293, WAR_te:51.26%, UAR_te:42.12%
[Wed May 20 02:34:52 2026] [Train] epo:36/50, batch_idx_tr:293/293, running_loss_tr:0.05, train acc:98.57%
[Wed May 20 02:35:07 2026] [Test] epo:36/50, batch_idx_tr:293/293, WAR_te:50.66%, UAR_te:40.53%
[Wed May 20 02:38:27 2026] [Train] epo:37/50, batch_idx_tr:293/293, running_loss_tr:0.03, train acc:98.80%
[Wed May 20 02:38:43 2026] [Test] epo:37/50, batch_idx_tr:293/293, WAR_te:49.89%, UAR_te:42.59%
[Wed May 20 02:42:02 2026] [Train] epo:38/50, batch_idx_tr:293/293, running_loss_tr:0.06, train acc:97.93%
[Wed May 20 02:42:17 2026] [Test] epo:38/50, batch_idx_tr:293/293, WAR_te:50.02%, UAR_te:43.15%
[Wed May 20 02:45:37 2026] [Train] epo:39/50, batch_idx_tr:293/293, running_loss_tr:0.07, train acc:97.54%
[Wed May 20 02:45:52 2026] [Test] epo:39/50, batch_idx_tr:293/293, WAR_te:49.55%, UAR_te:40.96%
[Wed May 20 02:49:11 2026] [Train] epo:40/50, batch_idx_tr:293/293, running_loss_tr:0.05, train acc:98.19%
[Wed May 20 02:49:27 2026] [Test] epo:40/50, batch_idx_tr:293/293, WAR_te:49.51%, UAR_te:40.01%
[Wed May 20 02:52:46 2026] [Train] epo:41/50, batch_idx_tr:293/293, running_loss_tr:0.04, train acc:98.71%
[Wed May 20 02:53:02 2026] [Test] epo:41/50, batch_idx_tr:293/293, WAR_te:49.76%, UAR_te:39.52%
[Wed May 20 02:56:21 2026] [Train] epo:42/50, batch_idx_tr:293/293, running_loss_tr:0.05, train acc:98.55%
[Wed May 20 02:56:36 2026] [Test] epo:42/50, batch_idx_tr:293/293, WAR_te:50.88%, UAR_te:41.90%
[Wed May 20 02:59:56 2026] [Train] epo:43/50, batch_idx_tr:293/293, running_loss_tr:0.03, train acc:98.87%
[Wed May 20 03:00:11 2026] [Test] epo:43/50, batch_idx_tr:293/293, WAR_te:49.59%, UAR_te:39.49%
[Wed May 20 03:03:31 2026] [Train] epo:44/50, batch_idx_tr:293/293, running_loss_tr:0.06, train acc:98.00%
[Wed May 20 03:03:46 2026] [Test] epo:44/50, batch_idx_tr:293/293, WAR_te:49.25%, UAR_te:41.20%
[Wed May 20 03:07:05 2026] [Train] epo:45/50, batch_idx_tr:293/293, running_loss_tr:0.04, train acc:98.85%
[Wed May 20 03:07:21 2026] [Test] epo:45/50, batch_idx_tr:293/293, WAR_te:49.81%, UAR_te:42.85%
[Wed May 20 03:10:40 2026] [Train] epo:46/50, batch_idx_tr:293/293, running_loss_tr:0.03, train acc:98.98%
[Wed May 20 03:10:56 2026] [Test] epo:46/50, batch_idx_tr:293/293, WAR_te:51.13%, UAR_te:42.46%
[Wed May 20 03:14:15 2026] [Train] epo:47/50, batch_idx_tr:293/293, running_loss_tr:0.02, train acc:99.06%
[Wed May 20 03:14:31 2026] [Test] epo:47/50, batch_idx_tr:293/293, WAR_te:49.21%, UAR_te:39.96%
[Wed May 20 03:17:50 2026] [Train] epo:48/50, batch_idx_tr:293/293, running_loss_tr:0.04, train acc:98.65%
[Wed May 20 03:18:05 2026] [Test] epo:48/50, batch_idx_tr:293/293, WAR_te:48.74%, UAR_te:41.07%
[Wed May 20 03:21:25 2026] [Train] epo:49/50, batch_idx_tr:293/293, running_loss_tr:0.05, train acc:98.41%
[Wed May 20 03:21:40 2026] [Test] epo:49/50, batch_idx_tr:293/293, WAR_te:50.32%, UAR_te:41.20%
[Wed May 20 03:24:59 2026] [Train] epo:50/50, batch_idx_tr:293/293, running_loss_tr:0.03, train acc:98.78%
[Wed May 20 03:25:15 2026] [Test] epo:50/50, batch_idx_tr:293/293, WAR_te:50.92%, UAR_te:42.21%
