[Sun Apr  5 23:17:20 2026] Initilize: 1. Conv2d & Linear with kaiming_normal_ 2. BatchNorm2d with constant
[Mon Apr  6 01:00:17 2026] [Train] epo:25/50, batch_idx_tr:293/293, running_loss_tr:0.08, train acc:97.14%
[Mon Apr  6 01:00:35 2026] [Test] epo:25/50, batch_idx_tr:293/293, WAR_te:51.77%, UAR_te:41.79%
[Mon Apr  6 01:04:23 2026] [Train] epo:26/50, batch_idx_tr:293/293, running_loss_tr:0.12, train acc:95.83%
[Mon Apr  6 01:04:41 2026] [Test] epo:26/50, batch_idx_tr:293/293, WAR_te:51.00%, UAR_te:42.52%
[Mon Apr  6 01:08:28 2026] [Train] epo:27/50, batch_idx_tr:293/293, running_loss_tr:0.07, train acc:97.62%
[Mon Apr  6 01:08:46 2026] [Test] epo:27/50, batch_idx_tr:293/293, WAR_te:52.76%, UAR_te:42.98%
[Mon Apr  6 01:12:34 2026] [Train] epo:28/50, batch_idx_tr:293/293, running_loss_tr:0.08, train acc:97.07%
[Mon Apr  6 01:12:52 2026] [Test] epo:28/50, batch_idx_tr:293/293, WAR_te:52.84%, UAR_te:42.23%
[Mon Apr  6 01:16:40 2026] [Train] epo:29/50, batch_idx_tr:293/293, running_loss_tr:0.09, train acc:97.29%
[Mon Apr  6 01:16:57 2026] [Test] epo:29/50, batch_idx_tr:293/293, WAR_te:52.46%, UAR_te:41.11%
[Mon Apr  6 01:20:45 2026] [Train] epo:30/50, batch_idx_tr:293/293, running_loss_tr:0.09, train acc:96.93%
[Mon Apr  6 01:21:03 2026] [Test] epo:30/50, batch_idx_tr:293/293, WAR_te:51.73%, UAR_te:41.79%
[Mon Apr  6 01:24:51 2026] [Train] epo:31/50, batch_idx_tr:293/293, running_loss_tr:0.07, train acc:97.61%
[Mon Apr  6 01:25:09 2026] [Test] epo:31/50, batch_idx_tr:293/293, WAR_te:50.28%, UAR_te:39.13%
[Mon Apr  6 01:28:56 2026] [Train] epo:32/50, batch_idx_tr:293/293, running_loss_tr:0.07, train acc:97.49%
[Mon Apr  6 01:29:15 2026] [Test] epo:32/50, batch_idx_tr:293/293, WAR_te:52.20%, UAR_te:44.39%
[Mon Apr  6 01:33:03 2026] [Train] epo:33/50, batch_idx_tr:293/293, running_loss_tr:0.05, train acc:98.19%
[Mon Apr  6 01:33:20 2026] [Test] epo:33/50, batch_idx_tr:293/293, WAR_te:52.71%, UAR_te:43.09%
[Mon Apr  6 01:37:08 2026] [Train] epo:34/50, batch_idx_tr:293/293, running_loss_tr:0.04, train acc:98.58%
[Mon Apr  6 01:37:26 2026] [Test] epo:34/50, batch_idx_tr:293/293, WAR_te:51.60%, UAR_te:42.45%
[Mon Apr  6 01:41:14 2026] [Train] epo:35/50, batch_idx_tr:293/293, running_loss_tr:0.06, train acc:97.74%
[Mon Apr  6 01:41:31 2026] [Test] epo:35/50, batch_idx_tr:293/293, WAR_te:52.71%, UAR_te:43.27%
[Mon Apr  6 01:45:19 2026] [Train] epo:36/50, batch_idx_tr:293/293, running_loss_tr:0.08, train acc:97.20%
[Mon Apr  6 01:45:37 2026] [Test] epo:36/50, batch_idx_tr:293/293, WAR_te:51.22%, UAR_te:41.88%
[Mon Apr  6 01:49:25 2026] [Train] epo:37/50, batch_idx_tr:293/293, running_loss_tr:0.04, train acc:98.83%
[Mon Apr  6 01:49:43 2026] [Test] epo:37/50, batch_idx_tr:293/293, WAR_te:52.50%, UAR_te:41.84%
[Mon Apr  6 01:53:30 2026] [Train] epo:38/50, batch_idx_tr:293/293, running_loss_tr:0.03, train acc:98.96%
[Mon Apr  6 01:53:48 2026] [Test] epo:38/50, batch_idx_tr:293/293, WAR_te:49.85%, UAR_te:40.65%
[Mon Apr  6 01:57:36 2026] [Train] epo:39/50, batch_idx_tr:293/293, running_loss_tr:0.06, train acc:97.71%
[Mon Apr  6 01:57:54 2026] [Test] epo:39/50, batch_idx_tr:293/293, WAR_te:52.33%, UAR_te:40.00%
[Mon Apr  6 02:01:41 2026] [Train] epo:40/50, batch_idx_tr:293/293, running_loss_tr:0.06, train acc:97.83%
[Mon Apr  6 02:01:59 2026] [Test] epo:40/50, batch_idx_tr:293/293, WAR_te:52.41%, UAR_te:41.84%
[Mon Apr  6 02:05:47 2026] [Train] epo:41/50, batch_idx_tr:293/293, running_loss_tr:0.06, train acc:97.97%
[Mon Apr  6 02:06:05 2026] [Test] epo:41/50, batch_idx_tr:293/293, WAR_te:51.64%, UAR_te:41.35%
[Mon Apr  6 02:09:52 2026] [Train] epo:42/50, batch_idx_tr:293/293, running_loss_tr:0.05, train acc:98.42%
[Mon Apr  6 02:10:10 2026] [Test] epo:42/50, batch_idx_tr:293/293, WAR_te:52.46%, UAR_te:42.64%
[Mon Apr  6 02:13:57 2026] [Train] epo:43/50, batch_idx_tr:293/293, running_loss_tr:0.02, train acc:99.43%
[Mon Apr  6 02:14:15 2026] [Test] epo:43/50, batch_idx_tr:293/293, WAR_te:53.52%, UAR_te:43.01%
[Mon Apr  6 02:18:03 2026] [Train] epo:44/50, batch_idx_tr:293/293, running_loss_tr:0.04, train acc:98.57%
[Mon Apr  6 02:18:21 2026] [Test] epo:44/50, batch_idx_tr:293/293, WAR_te:50.96%, UAR_te:42.27%
[Mon Apr  6 02:22:08 2026] [Train] epo:45/50, batch_idx_tr:293/293, running_loss_tr:0.05, train acc:98.25%
[Mon Apr  6 02:22:26 2026] [Test] epo:45/50, batch_idx_tr:293/293, WAR_te:49.42%, UAR_te:41.89%
[Mon Apr  6 02:26:14 2026] [Train] epo:46/50, batch_idx_tr:293/293, running_loss_tr:0.04, train acc:98.50%
[Mon Apr  6 02:26:32 2026] [Test] epo:46/50, batch_idx_tr:293/293, WAR_te:49.04%, UAR_te:42.18%
[Mon Apr  6 02:30:19 2026] [Train] epo:47/50, batch_idx_tr:293/293, running_loss_tr:0.02, train acc:99.27%
[Mon Apr  6 02:30:37 2026] [Test] epo:47/50, batch_idx_tr:293/293, WAR_te:52.71%, UAR_te:42.14%
[Mon Apr  6 02:34:25 2026] [Train] epo:48/50, batch_idx_tr:293/293, running_loss_tr:0.02, train acc:99.19%
[Mon Apr  6 02:34:43 2026] [Test] epo:48/50, batch_idx_tr:293/293, WAR_te:53.74%, UAR_te:44.45%
[Mon Apr  6 02:38:31 2026] [Train] epo:49/50, batch_idx_tr:293/293, running_loss_tr:0.08, train acc:97.49%
[Mon Apr  6 02:38:49 2026] [Test] epo:49/50, batch_idx_tr:293/293, WAR_te:52.07%, UAR_te:41.54%
[Mon Apr  6 02:42:37 2026] [Train] epo:50/50, batch_idx_tr:293/293, running_loss_tr:0.06, train acc:98.04%
[Mon Apr  6 02:42:55 2026] [Test] epo:50/50, batch_idx_tr:293/293, WAR_te:53.40%, UAR_te:42.56%
