[Sun Feb 15 10:20:19 2026] Initilize: 1. Conv2d & Linear with kaiming_normal_ 2. BatchNorm2d with constant
[Sun Feb 15 10:24:30 2026] [Train] epo:1/50, batch_idx_tr:293/293, running_loss_tr:1.74, train acc:35.63%
[Sun Feb 15 10:27:45 2026] [Test] epo:1/50, batch_idx_tr:293/293, WAR_te:47.30%, UAR_te:38.28%
[Sun Feb 15 10:31:05 2026] [Train] epo:2/50, batch_idx_tr:293/293, running_loss_tr:1.36, train acc:48.39%
[Sun Feb 15 10:33:15 2026] [Test] epo:2/50, batch_idx_tr:293/293, WAR_te:52.74%, UAR_te:40.68%
[Sun Feb 15 10:36:35 2026] [Train] epo:3/50, batch_idx_tr:293/293, running_loss_tr:1.27, train acc:52.56%
[Sun Feb 15 10:38:43 2026] [Test] epo:3/50, batch_idx_tr:293/293, WAR_te:56.04%, UAR_te:41.92%
[Sun Feb 15 10:42:03 2026] [Train] epo:4/50, batch_idx_tr:293/293, running_loss_tr:1.20, train acc:55.12%
[Sun Feb 15 10:44:10 2026] [Test] epo:4/50, batch_idx_tr:293/293, WAR_te:58.65%, UAR_te:44.45%
[Sun Feb 15 10:47:29 2026] [Train] epo:5/50, batch_idx_tr:293/293, running_loss_tr:1.15, train acc:56.90%
[Sun Feb 15 10:49:38 2026] [Test] epo:5/50, batch_idx_tr:293/293, WAR_te:58.65%, UAR_te:46.20%
[Sun Feb 15 10:52:57 2026] [Train] epo:6/50, batch_idx_tr:293/293, running_loss_tr:1.12, train acc:58.82%
[Sun Feb 15 10:55:06 2026] [Test] epo:6/50, batch_idx_tr:293/293, WAR_te:53.47%, UAR_te:44.26%
[Sun Feb 15 10:58:25 2026] [Train] epo:7/50, batch_idx_tr:293/293, running_loss_tr:1.09, train acc:59.87%
[Sun Feb 15 11:00:33 2026] [Test] epo:7/50, batch_idx_tr:293/293, WAR_te:59.25%, UAR_te:47.33%
[Sun Feb 15 11:03:52 2026] [Train] epo:8/50, batch_idx_tr:293/293, running_loss_tr:1.06, train acc:60.44%
[Sun Feb 15 11:06:01 2026] [Test] epo:8/50, batch_idx_tr:293/293, WAR_te:56.76%, UAR_te:44.30%
[Sun Feb 15 11:09:21 2026] [Train] epo:9/50, batch_idx_tr:293/293, running_loss_tr:1.02, train acc:61.36%
[Sun Feb 15 11:11:28 2026] [Test] epo:9/50, batch_idx_tr:293/293, WAR_te:61.43%, UAR_te:49.87%
[Sun Feb 15 11:14:48 2026] [Train] epo:10/50, batch_idx_tr:293/293, running_loss_tr:1.02, train acc:62.00%
[Sun Feb 15 11:16:58 2026] [Test] epo:10/50, batch_idx_tr:293/293, WAR_te:60.87%, UAR_te:50.31%
[Sun Feb 15 11:20:18 2026] [Train] epo:11/50, batch_idx_tr:293/293, running_loss_tr:1.00, train acc:62.75%
[Sun Feb 15 11:22:28 2026] [Test] epo:11/50, batch_idx_tr:293/293, WAR_te:57.28%, UAR_te:47.75%
[Sun Feb 15 11:25:47 2026] [Train] epo:12/50, batch_idx_tr:293/293, running_loss_tr:0.97, train acc:64.20%
[Sun Feb 15 11:27:56 2026] [Test] epo:12/50, batch_idx_tr:293/293, WAR_te:59.63%, UAR_te:47.57%
[Sun Feb 15 11:31:15 2026] [Train] epo:13/50, batch_idx_tr:293/293, running_loss_tr:0.95, train acc:64.37%
[Sun Feb 15 11:33:24 2026] [Test] epo:13/50, batch_idx_tr:293/293, WAR_te:58.82%, UAR_te:47.20%
[Sun Feb 15 11:36:44 2026] [Train] epo:14/50, batch_idx_tr:293/293, running_loss_tr:0.94, train acc:64.67%
[Sun Feb 15 11:38:52 2026] [Test] epo:14/50, batch_idx_tr:293/293, WAR_te:58.69%, UAR_te:48.95%
[Sun Feb 15 11:42:11 2026] [Train] epo:15/50, batch_idx_tr:293/293, running_loss_tr:0.93, train acc:65.08%
