[Wed Jun  3 23:00:59 2026] >>> [INFO] Χρήση Weighted CEL (WCEL) - Δυναμικά Βάρη Fold 1: [ 0.683  0.882  0.626  0.769  1.138 11.522  1.854]
[Wed Jun  3 23:00:59 2026] 
=======================================================
[Wed Jun  3 23:00:59 2026] --- ΒΑΣΙΚΕΣ ΡΥΘΜΙΣΕΙΣ ΠΕΙΡΑΜΑΤΟΣ ---
[Wed Jun  3 23:00:59 2026] Μοντέλο    : mc3_18
[Wed Jun  3 23:00:59 2026] Optimizer  : SGD (LR: 0.001)
[Wed Jun  3 23:00:59 2026] Scheduler  : StepLR
[Wed Jun  3 23:00:59 2026] Αξιολόγηση : TEN-CROP (10 Crops)
[Wed Jun  3 23:00:59 2026] =======================================================

[Wed Jun  3 23:05:45 2026] [Train] epo:1/30, batch_idx_tr:293/293, running_loss_tr:1.84, train acc:25.27%
[Wed Jun  3 23:09:45 2026] [Test] epo:1/30, batch_idx_tr:293/293, WAR_te:42.97%, UAR_te:34.53%
[Wed Jun  3 23:13:32 2026] [Train] epo:2/30, batch_idx_tr:293/293, running_loss_tr:1.55, train acc:41.31%
[Wed Jun  3 23:16:02 2026] [Test] epo:2/30, batch_idx_tr:293/293, WAR_te:47.42%, UAR_te:44.20%
[Wed Jun  3 23:19:50 2026] [Train] epo:3/30, batch_idx_tr:293/293, running_loss_tr:1.36, train acc:48.19%
[Wed Jun  3 23:22:20 2026] [Test] epo:3/30, batch_idx_tr:293/293, WAR_te:46.60%, UAR_te:43.46%
[Wed Jun  3 23:26:08 2026] [Train] epo:4/30, batch_idx_tr:293/293, running_loss_tr:1.25, train acc:53.17%
[Wed Jun  3 23:28:39 2026] [Test] epo:4/30, batch_idx_tr:293/293, WAR_te:54.68%, UAR_te:47.89%
[Wed Jun  3 23:32:27 2026] [Train] epo:5/30, batch_idx_tr:293/293, running_loss_tr:1.16, train acc:55.71%
[Wed Jun  3 23:34:57 2026] [Test] epo:5/30, batch_idx_tr:293/293, WAR_te:55.70%, UAR_te:48.30%
[Wed Jun  3 23:38:45 2026] [Train] epo:6/30, batch_idx_tr:293/293, running_loss_tr:1.07, train acc:58.95%
[Wed Jun  3 23:41:16 2026] [Test] epo:6/30, batch_idx_tr:293/293, WAR_te:56.17%, UAR_te:48.15%
[Wed Jun  3 23:45:03 2026] [Train] epo:7/30, batch_idx_tr:293/293, running_loss_tr:1.00, train acc:60.44%
