[Mon Apr  6 16:44:26 2026] Initilize: 1. Conv2d & Linear with kaiming_normal_ 2. BatchNorm2d with constant
[Mon Apr  6 18:27:22 2026] [Train] epo:25/50, batch_idx_tr:293/293, running_loss_tr:0.17, train acc:93.75%
[Mon Apr  6 18:27:40 2026] [Test] epo:25/50, batch_idx_tr:293/293, WAR_te:50.79%, UAR_te:40.95%
[Mon Apr  6 18:31:27 2026] [Train] epo:26/50, batch_idx_tr:293/293, running_loss_tr:0.14, train acc:95.29%
[Mon Apr  6 18:31:45 2026] [Test] epo:26/50, batch_idx_tr:293/293, WAR_te:53.61%, UAR_te:43.70%
[Mon Apr  6 18:35:33 2026] [Train] epo:27/50, batch_idx_tr:293/293, running_loss_tr:0.13, train acc:95.11%
[Mon Apr  6 18:35:51 2026] [Test] epo:27/50, batch_idx_tr:293/293, WAR_te:52.50%, UAR_te:43.32%
[Mon Apr  6 18:39:38 2026] [Train] epo:28/50, batch_idx_tr:293/293, running_loss_tr:0.09, train acc:97.08%
[Mon Apr  6 18:39:56 2026] [Test] epo:28/50, batch_idx_tr:293/293, WAR_te:53.31%, UAR_te:46.53%
[Mon Apr  6 18:43:44 2026] [Train] epo:29/50, batch_idx_tr:293/293, running_loss_tr:0.10, train acc:96.36%
[Mon Apr  6 18:44:02 2026] [Test] epo:29/50, batch_idx_tr:293/293, WAR_te:52.07%, UAR_te:45.78%
[Mon Apr  6 18:47:49 2026] [Train] epo:30/50, batch_idx_tr:293/293, running_loss_tr:0.11, train acc:96.16%
[Mon Apr  6 18:48:07 2026] [Test] epo:30/50, batch_idx_tr:293/293, WAR_te:54.94%, UAR_te:46.31%
[Mon Apr  6 18:51:55 2026] [Train] epo:31/50, batch_idx_tr:293/293, running_loss_tr:0.09, train acc:96.93%
[Mon Apr  6 18:52:13 2026] [Test] epo:31/50, batch_idx_tr:293/293, WAR_te:52.84%, UAR_te:45.45%
[Mon Apr  6 18:56:00 2026] [Train] epo:32/50, batch_idx_tr:293/293, running_loss_tr:0.09, train acc:97.17%
[Mon Apr  6 18:56:18 2026] [Test] epo:32/50, batch_idx_tr:293/293, WAR_te:50.11%, UAR_te:44.70%
[Mon Apr  6 19:00:06 2026] [Train] epo:33/50, batch_idx_tr:293/293, running_loss_tr:0.07, train acc:97.44%
[Mon Apr  6 19:00:24 2026] [Test] epo:33/50, batch_idx_tr:293/293, WAR_te:54.47%, UAR_te:46.83%
[Mon Apr  6 19:04:11 2026] [Train] epo:34/50, batch_idx_tr:293/293, running_loss_tr:0.09, train acc:96.99%
[Mon Apr  6 19:04:29 2026] [Test] epo:34/50, batch_idx_tr:293/293, WAR_te:53.27%, UAR_te:43.81%
[Mon Apr  6 19:08:17 2026] [Train] epo:35/50, batch_idx_tr:293/293, running_loss_tr:0.06, train acc:97.78%
[Mon Apr  6 19:08:35 2026] [Test] epo:35/50, batch_idx_tr:293/293, WAR_te:54.77%, UAR_te:45.54%
[Mon Apr  6 19:12:22 2026] [Train] epo:36/50, batch_idx_tr:293/293, running_loss_tr:0.06, train acc:97.98%
[Mon Apr  6 19:12:40 2026] [Test] epo:36/50, batch_idx_tr:293/293, WAR_te:52.89%, UAR_te:42.49%
[Mon Apr  6 19:16:28 2026] [Train] epo:37/50, batch_idx_tr:293/293, running_loss_tr:0.08, train acc:97.23%
