[Fri Jun  5 19:07:52 2026] >>> [INFO] Χρήση Weighted CEL (WCEL) - Δυναμικά Βάρη Fold 3: [ 0.683  0.882  0.626  0.769  1.138 11.523  1.851]
[Fri Jun  5 19:07:52 2026] 
=======================================================
[Fri Jun  5 19:07:52 2026] --- ΒΑΣΙΚΕΣ ΡΥΘΜΙΣΕΙΣ ΠΕΙΡΑΜΑΤΟΣ ---
[Fri Jun  5 19:07:52 2026] Μοντέλο    : mc3_18
[Fri Jun  5 19:07:52 2026] Optimizer  : SGD (LR: 0.001)
[Fri Jun  5 19:07:52 2026] Scheduler  : StepLR
[Fri Jun  5 19:07:52 2026] Αξιολόγηση : TEN-CROP (10 Crops)
[Fri Jun  5 19:07:52 2026] =======================================================

[Fri Jun  5 21:28:48 2026] [Test] epo:22/30, batch_idx_tr:293/293, WAR_te:59.70%, UAR_te:50.81%
[Fri Jun  5 21:32:35 2026] [Train] epo:23/30, batch_idx_tr:293/293, running_loss_tr:0.34, train acc:86.37%
[Fri Jun  5 21:35:05 2026] [Test] epo:23/30, batch_idx_tr:293/293, WAR_te:61.45%, UAR_te:51.30%
[Fri Jun  5 21:38:53 2026] [Train] epo:24/30, batch_idx_tr:293/293, running_loss_tr:0.33, train acc:86.63%
[Fri Jun  5 21:41:24 2026] [Test] epo:24/30, batch_idx_tr:293/293, WAR_te:61.84%, UAR_te:51.63%
[Fri Jun  5 21:45:12 2026] [Train] epo:25/30, batch_idx_tr:293/293, running_loss_tr:0.29, train acc:87.87%
[Fri Jun  5 21:47:42 2026] [Test] epo:25/30, batch_idx_tr:293/293, WAR_te:62.31%, UAR_te:51.26%
[Fri Jun  5 21:51:29 2026] [Train] epo:26/30, batch_idx_tr:293/293, running_loss_tr:0.28, train acc:88.71%
[Fri Jun  5 21:54:01 2026] [Test] epo:26/30, batch_idx_tr:293/293, WAR_te:61.58%, UAR_te:52.58%
[Fri Jun  5 21:57:48 2026] [Train] epo:27/30, batch_idx_tr:293/293, running_loss_tr:0.25, train acc:89.77%
[Fri Jun  5 22:00:19 2026] [Test] epo:27/30, batch_idx_tr:293/293, WAR_te:59.32%, UAR_te:50.12%
[Fri Jun  5 22:04:07 2026] [Train] epo:28/30, batch_idx_tr:293/293, running_loss_tr:0.25, train acc:90.63%
[Fri Jun  5 22:06:39 2026] [Test] epo:28/30, batch_idx_tr:293/293, WAR_te:59.10%, UAR_te:50.11%
[Fri Jun  5 22:10:27 2026] [Train] epo:29/30, batch_idx_tr:293/293, running_loss_tr:0.22, train acc:90.92%
[Fri Jun  5 22:12:57 2026] [Test] epo:29/30, batch_idx_tr:293/293, WAR_te:60.73%, UAR_te:50.91%
[Fri Jun  5 22:16:45 2026] [Train] epo:30/30, batch_idx_tr:293/293, running_loss_tr:0.20, train acc:91.89%
[Fri Jun  5 22:19:15 2026] [Test] epo:30/30, batch_idx_tr:293/293, WAR_te:59.27%, UAR_te:50.98%
