[Tue May 26 12:51:39 2026] 
=======================================================
[Tue May 26 12:51:39 2026] --- ΒΑΣΙΚΕΣ ΡΥΘΜΙΣΕΙΣ ΠΕΙΡΑΜΑΤΟΣ ---
[Tue May 26 12:51:39 2026] Μοντέλο    : my_hybrid
[Tue May 26 12:51:39 2026] Optimizer  : SGD (LR: 0.001)
[Tue May 26 12:51:39 2026] Scheduler  : StepLR
[Tue May 26 12:51:39 2026] Αξιολόγηση : TEN-CROP (10 Crops)
[Tue May 26 12:51:39 2026] =======================================================

[Tue May 26 17:56:01 2026] [Test] epo:23/30, batch_idx_tr:1170/1170, WAR_te:62.58%, UAR_te:56.73%
[Tue May 26 18:03:37 2026] [Train] epo:24/30, batch_idx_tr:1170/1170, running_loss_tr:0.54, train acc:80.03%
[Tue May 26 18:09:12 2026] [Test] epo:24/30, batch_idx_tr:1170/1170, WAR_te:62.28%, UAR_te:51.71%
[Tue May 26 18:16:49 2026] [Train] epo:25/30, batch_idx_tr:1170/1170, running_loss_tr:0.53, train acc:80.48%
[Tue May 26 18:22:25 2026] [Test] epo:25/30, batch_idx_tr:1170/1170, WAR_te:64.97%, UAR_te:57.53%
[Tue May 26 18:29:59 2026] [Train] epo:26/30, batch_idx_tr:1170/1170, running_loss_tr:0.49, train acc:82.00%
[Tue May 26 18:35:36 2026] [Test] epo:26/30, batch_idx_tr:1170/1170, WAR_te:63.48%, UAR_te:52.54%
[Tue May 26 18:43:12 2026] [Train] epo:27/30, batch_idx_tr:1170/1170, running_loss_tr:0.48, train acc:82.52%
[Tue May 26 18:48:48 2026] [Test] epo:27/30, batch_idx_tr:1170/1170, WAR_te:60.36%, UAR_te:53.37%
[Tue May 26 18:56:23 2026] [Train] epo:28/30, batch_idx_tr:1170/1170, running_loss_tr:0.48, train acc:82.61%
[Tue May 26 19:01:58 2026] [Test] epo:28/30, batch_idx_tr:1170/1170, WAR_te:60.62%, UAR_te:53.12%
[Tue May 26 19:09:33 2026] [Train] epo:29/30, batch_idx_tr:1170/1170, running_loss_tr:0.46, train acc:83.17%
[Tue May 26 19:15:09 2026] [Test] epo:29/30, batch_idx_tr:1170/1170, WAR_te:64.20%, UAR_te:53.52%
[Tue May 26 19:22:45 2026] [Train] epo:30/30, batch_idx_tr:1170/1170, running_loss_tr:0.45, train acc:83.28%
[Tue May 26 19:28:21 2026] [Test] epo:30/30, batch_idx_tr:1170/1170, WAR_te:64.97%, UAR_te:54.25%

