[Mon Jun  8 10:11:35 2026] >>> [INFO] Χρήση Weighted CEL (WCEL) - Δυναμικά Βάρη Fold 3: [ 0.683  0.882  0.626  0.769  1.138 11.523  1.851]
[Mon Jun  8 10:11:35 2026] 
=======================================================
[Mon Jun  8 10:11:35 2026] --- ΒΑΣΙΚΕΣ ΡΥΘΜΙΣΕΙΣ ΠΕΙΡΑΜΑΤΟΣ ---
[Mon Jun  8 10:11:35 2026] Μοντέλο    : my_hybrid
[Mon Jun  8 10:11:35 2026] Optimizer  : SGD (LR: 0.001)
[Mon Jun  8 10:11:35 2026] Scheduler  : StepLR
[Mon Jun  8 10:11:35 2026] Αξιολόγηση : TEN-CROP (10 Crops)
[Mon Jun  8 10:11:35 2026] =======================================================

[Mon Jun  8 14:57:13 2026] [Train] epo:22/30, batch_idx_tr:1170/1170, running_loss_tr:0.56, train acc:79.12%
[Mon Jun  8 15:02:48 2026] [Test] epo:22/30, batch_idx_tr:1170/1170, WAR_te:62.52%, UAR_te:56.59%
[Mon Jun  8 15:10:24 2026] [Train] epo:23/30, batch_idx_tr:1170/1170, running_loss_tr:0.59, train acc:78.88%
[Mon Jun  8 15:15:58 2026] [Test] epo:23/30, batch_idx_tr:1170/1170, WAR_te:64.53%, UAR_te:57.47%
[Mon Jun  8 15:23:33 2026] [Train] epo:24/30, batch_idx_tr:1170/1170, running_loss_tr:0.54, train acc:80.57%
[Mon Jun  8 15:29:08 2026] [Test] epo:24/30, batch_idx_tr:1170/1170, WAR_te:62.05%, UAR_te:57.01%
[Mon Jun  8 15:36:43 2026] [Train] epo:25/30, batch_idx_tr:1170/1170, running_loss_tr:0.53, train acc:80.87%
[Mon Jun  8 15:42:19 2026] [Test] epo:25/30, batch_idx_tr:1170/1170, WAR_te:64.06%, UAR_te:56.72%
[Mon Jun  8 15:49:53 2026] [Train] epo:26/30, batch_idx_tr:1170/1170, running_loss_tr:0.53, train acc:80.93%
[Mon Jun  8 15:55:30 2026] [Test] epo:26/30, batch_idx_tr:1170/1170, WAR_te:63.08%, UAR_te:56.19%
[Mon Jun  8 16:03:05 2026] [Train] epo:27/30, batch_idx_tr:1170/1170, running_loss_tr:0.50, train acc:81.58%
[Mon Jun  8 16:08:41 2026] [Test] epo:27/30, batch_idx_tr:1170/1170, WAR_te:65.17%, UAR_te:58.20%
[Mon Jun  8 16:16:17 2026] [Train] epo:28/30, batch_idx_tr:1170/1170, running_loss_tr:0.46, train acc:83.47%
[Mon Jun  8 16:21:55 2026] [Test] epo:28/30, batch_idx_tr:1170/1170, WAR_te:64.32%, UAR_te:58.68%
[Mon Jun  8 16:29:30 2026] [Train] epo:29/30, batch_idx_tr:1170/1170, running_loss_tr:0.46, train acc:83.32%
[Mon Jun  8 16:35:04 2026] [Test] epo:29/30, batch_idx_tr:1170/1170, WAR_te:65.17%, UAR_te:58.95%
[Mon Jun  8 16:42:40 2026] [Train] epo:30/30, batch_idx_tr:1170/1170, running_loss_tr:0.43, train acc:84.33%
[Mon Jun  8 16:48:15 2026] [Test] epo:30/30, batch_idx_tr:1170/1170, WAR_te:59.40%, UAR_te:54.44%
