[Sat Apr 11 14:17:40 2026] Initilize: 1. Conv2d & Linear with kaiming_normal_ 2. BatchNorm2d with constant
[Sat Apr 11 14:17:40 2026] 
=======================================================
[Sat Apr 11 14:17:40 2026] --- ΒΑΣΙΚΕΣ ΡΥΘΜΙΣΕΙΣ ΠΕΙΡΑΜΑΤΟΣ ---
[Sat Apr 11 14:17:40 2026] Μοντέλο    : r3d_18
[Sat Apr 11 14:17:40 2026] Optimizer  : Adam (LR: 0.001)
[Sat Apr 11 14:17:40 2026] Scheduler  : ExponentialLR
[Sat Apr 11 14:17:40 2026] Αξιολόγηση : SINGLE CENTER-CROP (1 Crop)
[Sat Apr 11 14:17:40 2026] =======================================================

[Sat Apr 11 14:21:45 2026] [Train] epo:1/50, batch_idx_tr:293/293, running_loss_tr:1.91, train acc:21.74%
[Sat Apr 11 14:22:02 2026] [Test] epo:1/50, batch_idx_tr:293/293, WAR_te:22.38%, UAR_te:15.18%
[Sat Apr 11 14:25:22 2026] [Train] epo:2/50, batch_idx_tr:293/293, running_loss_tr:1.81, train acc:22.60%
[Sat Apr 11 14:25:37 2026] [Test] epo:2/50, batch_idx_tr:293/293, WAR_te:22.81%, UAR_te:14.36%
[Sat Apr 11 14:28:56 2026] [Train] epo:3/50, batch_idx_tr:293/293, running_loss_tr:1.80, train acc:22.68%
[Sat Apr 11 14:29:13 2026] [Test] epo:3/50, batch_idx_tr:293/293, WAR_te:22.68%, UAR_te:17.36%
[Sat Apr 11 14:32:32 2026] [Train] epo:4/50, batch_idx_tr:293/293, running_loss_tr:1.79, train acc:22.78%
[Sat Apr 11 14:32:47 2026] [Test] epo:4/50, batch_idx_tr:293/293, WAR_te:23.28%, UAR_te:14.80%
[Sat Apr 11 14:36:06 2026] [Train] epo:5/50, batch_idx_tr:293/293, running_loss_tr:1.77, train acc:24.69%
[Sat Apr 11 14:36:22 2026] [Test] epo:5/50, batch_idx_tr:293/293, WAR_te:26.10%, UAR_te:19.01%
[Sat Apr 11 14:39:42 2026] [Train] epo:6/50, batch_idx_tr:293/293, running_loss_tr:1.75, train acc:26.55%
[Sat Apr 11 14:39:58 2026] [Test] epo:6/50, batch_idx_tr:293/293, WAR_te:28.36%, UAR_te:20.43%
[Sat Apr 11 14:43:17 2026] [Train] epo:7/50, batch_idx_tr:293/293, running_loss_tr:1.72, train acc:28.41%
[Sat Apr 11 14:43:32 2026] [Test] epo:7/50, batch_idx_tr:293/293, WAR_te:24.05%, UAR_te:18.29%
[Sat Apr 11 14:46:51 2026] [Train] epo:8/50, batch_idx_tr:293/293, running_loss_tr:1.68, train acc:31.16%
[Sat Apr 11 14:47:07 2026] [Test] epo:8/50, batch_idx_tr:293/293, WAR_te:35.67%, UAR_te:25.65%
[Sat Apr 11 14:50:26 2026] [Train] epo:9/50, batch_idx_tr:293/293, running_loss_tr:1.60, train acc:36.76%
[Sat Apr 11 14:50:42 2026] [Test] epo:9/50, batch_idx_tr:293/293, WAR_te:38.02%, UAR_te:30.07%
