[Thu Jun  4 14:00:33 2026] >>> [INFO] Χρήση Weighted CEL (WCEL) - Δυναμικά Βάρη Fold 4: [ 0.683  0.882  0.626  0.769  1.138 11.525  1.852]
[Thu Jun  4 14:00:33 2026] 
=======================================================
[Thu Jun  4 14:00:33 2026] --- ΒΑΣΙΚΕΣ ΡΥΘΜΙΣΕΙΣ ΠΕΙΡΑΜΑΤΟΣ ---
[Thu Jun  4 14:00:33 2026] Μοντέλο    : mc3_18
[Thu Jun  4 14:00:33 2026] Optimizer  : SGD (LR: 0.001)
[Thu Jun  4 14:00:33 2026] Scheduler  : StepLR
[Thu Jun  4 14:00:33 2026] Αξιολόγηση : TEN-CROP (10 Crops)
[Thu Jun  4 14:00:33 2026] =======================================================

[Thu Jun  4 16:21:25 2026] [Test] epo:22/30, batch_idx_tr:293/293, WAR_te:59.73%, UAR_te:48.35%
[Thu Jun  4 16:25:12 2026] [Train] epo:23/30, batch_idx_tr:293/293, running_loss_tr:0.34, train acc:86.11%
[Thu Jun  4 16:27:41 2026] [Test] epo:23/30, batch_idx_tr:293/293, WAR_te:58.83%, UAR_te:48.77%
[Thu Jun  4 16:31:29 2026] [Train] epo:24/30, batch_idx_tr:293/293, running_loss_tr:0.33, train acc:86.30%
[Thu Jun  4 16:33:58 2026] [Test] epo:24/30, batch_idx_tr:293/293, WAR_te:61.01%, UAR_te:50.39%
[Thu Jun  4 16:37:46 2026] [Train] epo:25/30, batch_idx_tr:293/293, running_loss_tr:0.30, train acc:87.80%
[Thu Jun  4 16:40:15 2026] [Test] epo:25/30, batch_idx_tr:293/293, WAR_te:57.12%, UAR_te:47.63%
[Thu Jun  4 16:44:02 2026] [Train] epo:26/30, batch_idx_tr:293/293, running_loss_tr:0.28, train acc:88.28%
[Thu Jun  4 16:46:33 2026] [Test] epo:26/30, batch_idx_tr:293/293, WAR_te:58.70%, UAR_te:49.20%
[Thu Jun  4 16:50:20 2026] [Train] epo:27/30, batch_idx_tr:293/293, running_loss_tr:0.26, train acc:89.11%
[Thu Jun  4 16:52:50 2026] [Test] epo:27/30, batch_idx_tr:293/293, WAR_te:57.97%, UAR_te:52.34%
[Thu Jun  4 16:56:38 2026] [Train] epo:28/30, batch_idx_tr:293/293, running_loss_tr:0.24, train acc:90.39%
[Thu Jun  4 16:59:06 2026] [Test] epo:28/30, batch_idx_tr:293/293, WAR_te:60.97%, UAR_te:50.36%
[Thu Jun  4 17:02:54 2026] [Train] epo:29/30, batch_idx_tr:293/293, running_loss_tr:0.25, train acc:90.41%
[Thu Jun  4 17:05:24 2026] [Test] epo:29/30, batch_idx_tr:293/293, WAR_te:61.22%, UAR_te:50.88%
[Thu Jun  4 17:09:11 2026] [Train] epo:30/30, batch_idx_tr:293/293, running_loss_tr:0.23, train acc:90.68%
[Thu Jun  4 17:11:41 2026] [Test] epo:30/30, batch_idx_tr:293/293, WAR_te:58.23%, UAR_te:49.57%
