[Tue Jun  2 15:23:12 2026] >>> [INFO] Χρήση Weighted CEL (WCEL) - Δυναμικά Βάρη Fold 3: [ 0.683  0.882  0.626  0.769  1.138 11.523  1.851]
[Tue Jun  2 15:23:12 2026] 
=======================================================
[Tue Jun  2 15:23:12 2026] --- ΒΑΣΙΚΕΣ ΡΥΘΜΙΣΕΙΣ ΠΕΙΡΑΜΑΤΟΣ ---
[Tue Jun  2 15:23:12 2026] Μοντέλο    : former_dfer
[Tue Jun  2 15:23:12 2026] Optimizer  : SGD (LR: 0.001)
[Tue Jun  2 15:23:12 2026] Scheduler  : StepLR
[Tue Jun  2 15:23:12 2026] Αξιολόγηση : TEN-CROP (10 Crops)
[Tue Jun  2 15:23:12 2026] =======================================================

[Tue Jun  2 16:20:29 2026] [Test] epo:22/30, batch_idx_tr:293/293, WAR_te:53.80%, UAR_te:48.37%
[Tue Jun  2 16:21:52 2026] [Train] epo:23/30, batch_idx_tr:293/293, running_loss_tr:0.95, train acc:62.93%
[Tue Jun  2 16:23:08 2026] [Test] epo:23/30, batch_idx_tr:293/293, WAR_te:60.94%, UAR_te:54.35%
[Tue Jun  2 16:24:31 2026] [Train] epo:24/30, batch_idx_tr:293/293, running_loss_tr:0.93, train acc:63.40%
[Tue Jun  2 16:25:49 2026] [Test] epo:24/30, batch_idx_tr:293/293, WAR_te:59.19%, UAR_te:53.28%
[Tue Jun  2 16:27:10 2026] [Train] epo:25/30, batch_idx_tr:293/293, running_loss_tr:0.94, train acc:64.13%
[Tue Jun  2 16:28:27 2026] [Test] epo:25/30, batch_idx_tr:293/293, WAR_te:58.16%, UAR_te:53.11%
[Tue Jun  2 16:29:49 2026] [Train] epo:26/30, batch_idx_tr:293/293, running_loss_tr:0.88, train acc:64.74%
[Tue Jun  2 16:31:03 2026] [Test] epo:26/30, batch_idx_tr:293/293, WAR_te:55.85%, UAR_te:50.17%
[Tue Jun  2 16:32:23 2026] [Train] epo:27/30, batch_idx_tr:293/293, running_loss_tr:0.88, train acc:64.72%
[Tue Jun  2 16:33:36 2026] [Test] epo:27/30, batch_idx_tr:293/293, WAR_te:57.09%, UAR_te:55.04%
[Tue Jun  2 16:34:59 2026] [Train] epo:28/30, batch_idx_tr:293/293, running_loss_tr:0.89, train acc:65.31%
[Tue Jun  2 16:36:16 2026] [Test] epo:28/30, batch_idx_tr:293/293, WAR_te:57.74%, UAR_te:51.37%
[Tue Jun  2 16:37:37 2026] [Train] epo:29/30, batch_idx_tr:293/293, running_loss_tr:0.87, train acc:65.53%
[Tue Jun  2 16:38:51 2026] [Test] epo:29/30, batch_idx_tr:293/293, WAR_te:54.74%, UAR_te:52.65%
[Tue Jun  2 16:40:14 2026] [Train] epo:30/30, batch_idx_tr:293/293, running_loss_tr:0.84, train acc:67.03%
[Tue Jun  2 16:41:29 2026] [Test] epo:30/30, batch_idx_tr:293/293, WAR_te:52.31%, UAR_te:51.06%
