[Wed Jun  3 12:52:32 2026] >>> [INFO] Χρήση Weighted CEL (WCEL) - Δυναμικά Βάρη Fold 2: [ 0.683  0.882  0.626  0.769  1.138 11.522  1.854]
[Wed Jun  3 12:52:32 2026] 
=======================================================
[Wed Jun  3 12:52:32 2026] --- ΒΑΣΙΚΕΣ ΡΥΘΜΙΣΕΙΣ ΠΕΙΡΑΜΑΤΟΣ ---
[Wed Jun  3 12:52:32 2026] Μοντέλο    : mc3_18
[Wed Jun  3 12:52:32 2026] Optimizer  : SGD (LR: 0.001)
[Wed Jun  3 12:52:32 2026] Scheduler  : StepLR
[Wed Jun  3 12:52:32 2026] Αξιολόγηση : TEN-CROP (10 Crops)
[Wed Jun  3 12:52:32 2026] =======================================================

[Wed Jun  3 15:14:08 2026] [Test] epo:22/30, batch_idx_tr:293/293, WAR_te:53.99%, UAR_te:47.39%
[Wed Jun  3 15:17:55 2026] [Train] epo:23/30, batch_idx_tr:293/293, running_loss_tr:0.35, train acc:86.05%
[Wed Jun  3 15:20:27 2026] [Test] epo:23/30, batch_idx_tr:293/293, WAR_te:59.68%, UAR_te:48.25%
[Wed Jun  3 15:24:22 2026] [Train] epo:24/30, batch_idx_tr:293/293, running_loss_tr:0.33, train acc:86.40%
[Wed Jun  3 15:26:56 2026] [Test] epo:24/30, batch_idx_tr:293/293, WAR_te:56.26%, UAR_te:48.00%
[Wed Jun  3 15:31:02 2026] [Train] epo:25/30, batch_idx_tr:293/293, running_loss_tr:0.36, train acc:85.68%
[Wed Jun  3 15:33:41 2026] [Test] epo:25/30, batch_idx_tr:293/293, WAR_te:57.80%, UAR_te:50.16%
[Wed Jun  3 15:37:44 2026] [Train] epo:26/30, batch_idx_tr:293/293, running_loss_tr:0.34, train acc:86.49%
[Wed Jun  3 15:40:17 2026] [Test] epo:26/30, batch_idx_tr:293/293, WAR_te:54.25%, UAR_te:46.12%
[Wed Jun  3 15:44:07 2026] [Train] epo:27/30, batch_idx_tr:293/293, running_loss_tr:0.29, train acc:87.95%
[Wed Jun  3 15:46:38 2026] [Test] epo:27/30, batch_idx_tr:293/293, WAR_te:56.47%, UAR_te:49.07%
[Wed Jun  3 15:50:27 2026] [Train] epo:28/30, batch_idx_tr:293/293, running_loss_tr:0.25, train acc:89.92%
[Wed Jun  3 15:52:58 2026] [Test] epo:28/30, batch_idx_tr:293/293, WAR_te:57.24%, UAR_te:47.92%
[Wed Jun  3 15:56:51 2026] [Train] epo:29/30, batch_idx_tr:293/293, running_loss_tr:0.23, train acc:91.08%
[Wed Jun  3 15:59:21 2026] [Test] epo:29/30, batch_idx_tr:293/293, WAR_te:58.69%, UAR_te:48.16%
[Wed Jun  3 16:03:13 2026] [Train] epo:30/30, batch_idx_tr:293/293, running_loss_tr:0.22, train acc:91.02%
[Wed Jun  3 16:05:45 2026] [Test] epo:30/30, batch_idx_tr:293/293, WAR_te:55.28%, UAR_te:47.34%
